-, grc, transcription, texts/hamm0020.xml
-ου, grc, transcription, texts/beth0213.xml
1, grc, transcription, texts/beth0170.xml
1, arc, transcription, texts/idum0001.xml
1, arc, transcription, texts/idum0002.xml
1, arc, transcription, texts/idum0005.xml
1, arc, transcription, texts/idum0006.xml
1, arc, transcription, texts/idum0015.xml
1, arc, transcription, texts/idum0017.xml
1, arc, transcription, texts/idum0018.xml
1, arc, transcription, texts/idum0019.xml
1, arc, transcription, texts/idum0022.xml
1, arc, transcription, texts/idum0023.xml
1, arc, transcription, texts/idum0024.xml
1, arc, transcription, texts/idum0030.xml
1, arc, transcription, texts/idum0031.xml
1, arc, transcription, texts/idum0040.xml
1, arc, transcription, texts/idum0042.xml
1, arc, transcription, texts/idum0043.xml
1, arc, transcription, texts/idum0044.xml
1, arc, transcription, texts/idum0055.xml
1, arc, transcription, texts/idum0057.xml
1, arc, transcription, texts/idum0058.xml
1, arc, transcription, texts/idum0061.xml
1, arc, transcription, texts/idum0062.xml
1, arc, transcription, texts/idum0066.xml
1, arc, transcription, texts/idum0068.xml
1, arc, transcription, texts/idum0071.xml
1, arc, transcription, texts/idum0075.xml
1, arc, transcription, texts/idum0081.xml
1, arc, transcription, texts/idum0082.xml
1, arc, transcription, texts/idum0084.xml
1, arc, transcription, texts/idum0093.xml
1, arc, transcription, texts/idum0095.xml
1, arc, transcription, texts/idum0097.xml
1, arc, transcription, texts/idum0104.xml
1, arc, transcription, texts/idum0105.xml
1, arc, transcription, texts/idum0107.xml
1, arc, transcription, texts/idum0108.xml
1, arc, transcription, texts/idum0117.xml
1, arc, transcription, texts/idum0118.xml
1, arc, transcription, texts/idum0119.xml
1, arc, transcription, texts/idum0127.xml
1, arc, transcription, texts/idum0128.xml
1, arc, transcription, texts/idum0130.xml
1, arc, transcription, texts/idum0132.xml
1, arc, transcription, texts/idum0136.xml
1, arc, transcription, texts/idum0139.xml
1, arc, transcription, texts/idum0143.xml
1, arc, transcription, texts/idum0149.xml
1, arc, transcription, texts/idum0153.xml
1, arc, transcription, texts/idum0155.xml
1, arc, transcription, texts/idum0159.xml
1, arc, transcription, texts/idum0167.xml
1, arc, transcription, texts/idum0210.xml
1, arc, transcription, texts/idum0212.xml
1, arc, transcription, texts/idum0229.xml
1, arc, transcription, texts/idum0299.xml
1, arc, transcription, texts/idum0302.xml
1, arc, transcription, texts/idum0306.xml
1, arc, transcription, texts/idum0309b.xml
1, arc, transcription, texts/idum0311.xml
1, arc, transcription, texts/idum0313.xml
1, arc, transcription, texts/idum0328.xml
1, arc, transcription, texts/idum0334.xml
1, arc, transcription, texts/idum0335.xml
1, arc, transcription, texts/idum0336.xml
1, arc, transcription, texts/idum0337.xml
1, arc, transcription, texts/idum0340.xml
1, arc, transcription, texts/idum0375.xml
1, arc, transcription, texts/idum0376.xml
1, arc, transcription, texts/idum0377.xml
1, arc, transcription, texts/idum0386.xml
1, heb, transcription, texts/jeru0194.xml
1, he, transcription, texts/jord0001.xml
1, arc, transcription, texts/unkn0104.xml
1, arc, transcription, texts/unkn0107.xml
10, arc, transcription, texts/idum0028.xml
10, arc, transcription, texts/idum0032.xml
10, arc, transcription, texts/idum0039.xml
10, arc, transcription, texts/idum0062.xml
10, arc, transcription, texts/idum0063.xml
10, arc, transcription, texts/idum0089.xml
10, arc, transcription, texts/idum0094.xml
10, arc, transcription, texts/idum0120.xml
10, arc, transcription, texts/idum0122.xml
10, arc, transcription, texts/idum0123.xml
10, arc, transcription, texts/idum0128.xml
10, arc, transcription, texts/idum0140.xml
10, arc, transcription, texts/idum0225.xml
10, arc, transcription, texts/idum0309a.xml
10, arc, transcription, texts/idum0317.xml
10, arc, transcription, texts/idum0324.xml
10, arc, transcription, texts/idum0334.xml
10, arc, transcription, texts/idum0336.xml
10, heb, transcription, texts/jord0001.xml
10, arc, transcription, texts/unkn0107.xml
11, arc, transcription, texts/idum0079.xml
11, arc, transcription, texts/idum0107.xml
11, arc, transcription, texts/idum0120.xml
11, arc, transcription, texts/idum0161.xml
11, heb, transcription, texts/jord0001.xml
113, arc, transcription, texts/jmon0006.xml
117, arc, transcription, texts/sina0107.xml
12, arc, transcription, texts/idum0046.xml
12, arc, transcription, texts/idum0069.xml
12, arc, transcription, texts/idum0208.xml
12, heb, transcription, texts/jord0001.xml
12, arc, transcription, texts/unkn0104.xml
13, arc, transcription, texts/idum0025.xml
13, arc, transcription, texts/idum0028.xml
13, arc, transcription, texts/idum0029.xml
13, arc, transcription, texts/idum0084.xml
13, arc, transcription, texts/idum0212.xml
13, arc, transcription, texts/idum0300.xml
13, arc, transcription, texts/idum0301.xml
13, arc, transcription, texts/idum0303.xml
13, arc, transcription, texts/idum0317.xml
13, grc, transcription, texts/jeru0310.xml
13, heb, transcription, texts/jord0001.xml
13, arc, transcription, texts/unkn0104.xml
13, arc, transcription, texts/unkn0105.xml
14, arc, transcription, texts/idum0022.xml
14, arc, transcription, texts/idum0048.xml
14, arc, transcription, texts/idum0049.xml
14, arc, transcription, texts/idum0075.xml
14, arc, transcription, texts/idum0207.xml
14, arc, transcription, texts/idum0305.xml
14, arc, transcription, texts/idum0308.xml
14, arc, transcription, texts/idum0341.xml
14, heb, transcription, texts/jord0001.xml
14, arc, transcription, texts/unkn0104.xml
14, arc, transcription, texts/unkn0105.xml
15, arc, transcription, texts/idum0043.xml
15, arc, transcription, texts/idum0086.xml
15, arc, transcription, texts/idum0178.xml
15, arc, transcription, texts/idum0222.xml
15, arc, transcription, texts/idum0226.xml
15, arc, transcription, texts/idum0341.xml
15, heb, transcription, texts/jord0001.xml
15, arc, transcription, texts/unkn0105.xml
16, arc, transcription, texts/idum0030.xml
16, arc, transcription, texts/idum0045.xml
16, arc, transcription, texts/idum0052.xml
16, arc, transcription, texts/idum0092.xml
16, arc, transcription, texts/idum0169.xml
16, arc, transcription, texts/idum0214.xml
16, arc, transcription, texts/idum0221.xml
16, arc, transcription, texts/idum0319.xml
16, arc, transcription, texts/idum0333.xml
16, arc, transcription, texts/idum0385.xml
16, heb, transcription, texts/jord0001.xml
16, arc, transcription, texts/unkn0105.xml
17, arc, transcription, texts/idum0017.xml
17, arc, transcription, texts/idum0018.xml
17, arc, transcription, texts/idum0111.xml
17, arc, transcription, texts/idum0124.xml
17, arc, transcription, texts/idum0144.xml
17, arc, transcription, texts/idum0217.xml
17, arc, transcription, texts/idum0225.xml
17, arc, transcription, texts/idum0335.xml
17, heb, transcription, texts/jord0001.xml
18, arc, transcription, texts/idum0007.xml
18, arc, transcription, texts/idum0019.xml
18, arc, transcription, texts/idum0023.xml
18, arc, transcription, texts/idum0024.xml
18, arc, transcription, texts/idum0118.xml
18, arc, transcription, texts/idum0164.xml
18, arc, transcription, texts/idum0170.xml
18, heb, transcription, texts/jord0001.xml
19, arc, transcription, texts/idum0025.xml
19, arc, transcription, texts/idum0026.xml
19, arc, transcription, texts/idum0086.xml
19, arc, transcription, texts/idum0135.xml
19, arc, transcription, texts/idum0168.xml
19, arc, transcription, texts/idum0216.xml
19, arc, transcription, texts/idum0315.xml
19, heb, transcription, texts/jord0001.xml
2, grc, transcription, texts/beth0170.xml
2, arc, transcription, texts/idum0007.xml
2, arc, transcription, texts/idum0010.xml
2, arc, transcription, texts/idum0022.xml
2, arc, transcription, texts/idum0024.xml
2, arc, transcription, texts/idum0030.xml
2, arc, transcription, texts/idum0033.xml
2, arc, transcription, texts/idum0034.xml
2, arc, transcription, texts/idum0035.xml
2, arc, transcription, texts/idum0036.xml
2, arc, transcription, texts/idum0037.xml
2, arc, transcription, texts/idum0038.xml
