AntiochbyDaphne, AntiochbyDaphne, -transl, transcription, Antioch-by-Daphne&#44;, texts/xml/caes0126.xml
Augustal, Augustal, -transl, transcription, Augustal</rs>&#44;, texts/xml/caes0122.xml
Augustan, Augustan, -transl, transcription, Augustan, texts/xml/caes0122.xml
Despotes, Despotes, -transl, transcription, Despotes, texts/xml/caes0125.xml
Dolichenos, Dolichenos, -transl, transcription, </rs>Dolichenos</rs>., texts/xml/caes0124.xml
Eusebia, Eusebia, -transl, transcription, Eusebia, texts/xml/hamm0021.xml
God, God, -transl, transcription, God, texts/xml/caes0125.xml
Gregorius, Gregorius, -transl, transcription, Gregorius, texts/xml/hamm0021.xml
In, In, -transl, translation, In, texts/xml/hamm0021.xml
Jupiter, Jupiter, -transl, transcription, </rs>(Jupiter), texts/xml/caes0124.xml
Kaikillios, Kaikillios, -transl, transcription, </persName>Kaikillios, texts/xml/caes0126.xml
Kointos, Kointos, -transl, translation, Kointos, texts/xml/caes0126.xml
Maximus, Maximus, -transl, transcription, Maximus, texts/xml/hamm0021.xml
Megas, Megas, -transl, transcription, Megas, texts/xml/caes0125.xml
Menof, Menof, -transl, transcription, Men</rs>...of, texts/xml/caes0122.xml
Sarias, Sarias, -transl, transcription, Sarias, texts/xml/hamm0021.xml
Six, Six, -transl, transcription, Six, texts/xml/caes0122.xml
That, That, -transl, translation, [That</p></div>, texts/xml/mger0150.xml
To, To, -transl, translation, To, texts/xml/caes0125.xml
Viktor, Viktor, -transl, translation, Viktor</persName>&#44;, texts/xml/caes0124.xml
Zeus, Zeus, -transl, transcription, Zeus, texts/xml/caes0124.xml
a, a, -transl, transcription, a, texts/xml/caes0126.xml
actor, actor, -transl, transcription, actor, texts/xml/caes0126.xml
an, an, -transl, translation, an, texts/xml/caes0122.xml
and, and, -transl, transcription, and, texts/xml/hamm0021.xml
be, be, -transl, transcription, </rs>be, texts/xml/hamm0021.xml
by, by, -transl, transcription, by, texts/xml/caes0122.xml
children, children, -transl, transcription, children., texts/xml/hamm0021.xml
colony, colony, -transl, transcription, colony&#44;, texts/xml/caes0122.xml
comic, comic, -transl, transcription, comic, texts/xml/caes0126.xml
competitions, competitions, -transl, transcription, (competitions?)&#44;, texts/xml/caes0122.xml
decree, decree, -transl, transcription, decree, texts/xml/caes0122.xml
decurions, decurions, -transl, transcription, decurions</rs>., texts/xml/caes0122.xml
dedicated, dedicated, -transl, transcription, dedicated, texts/xml/caes0126.xml
for, for, -transl, transcription, for, texts/xml/caes0122.xml
fulfillment, fulfillment, -transl, transcription, fulfillment, texts/xml/caes0126.xml
his, his, -transl, transcription, </persName>his, texts/xml/hamm0021.xml
in, in, -transl, transcription, in, texts/xml/caes0126.xml
it, it, -transl, transcription, (it?), texts/xml/caes0122.xml
leading, leading, -transl, transcription, leading, texts/xml/caes0126.xml
made, made, -transl, transcription, made, texts/xml/caes0122.xml
may, may, -transl, transcription, </rs>may, texts/xml/hamm0021.xml
of, of, -transl, transcription, of, texts/xml/caes0122.xml
of, of, -transl, transcription, of, texts/xml/caes0126.xml
one, one, -transl, transcription, one, texts/xml/caes0122.xml
ous, ous, -transl, transcription, </persName>--ous, texts/xml/caes0126.xml
public, public, -transl, transcription, public, texts/xml/hamm0021.xml
remembered, remembered, -transl, transcription, remembered&#44;, texts/xml/hamm0021.xml
roles, roles, -transl, transcription, roles&#44;, texts/xml/caes0126.xml
the, the, -transl, transcription, the, texts/xml/caes0122.xml
the, the, -transl, transcription, </persName>the, texts/xml/hamm0021.xml
this, this, -transl, transcription, this, texts/xml/caes0126.xml
vow, vow, -transl, transcription, vow., texts/xml/caes0126.xml
weigher, weigher, -transl, transcription, weigher, texts/xml/hamm0021.xml
