Augustalibus, Augustalibus, , transcription, Augustali</abbr>bus</ex></expan>, texts/xml/caes0122.xml
Augustalis, Augustalis, , transcription, Augustalis, texts/xml/caes0122.xml
Cαρίας, Cαρίας, , transcription, Cαρίας, texts/xml/hamm0021.xml
coloniae, coloniae, , transcription, </lb></gap>colon</abbr>iae</ex></expan>, texts/xml/caes0122.xml
decreto, decreto, , transcription, d</abbr>ecreto</ex></expan>, texts/xml/caes0122.xml
decurionum, decurionum, , transcription, d</abbr>ecurionum</ex></expan>, texts/xml/caes0122.xml
di, di, , transcription, </gap>di</unclear>, texts/xml/caes0122.xml
ex, ex, , transcription, </lb></space>ex, texts/xml/caes0122.xml
fecit, fecit, , transcription, fec</abbr>it</ex></expan>, texts/xml/caes0122.xml
ludis, ludis, , transcription, </lb>ludis</supplied>, texts/xml/caes0122.xml
m, m, , transcription, m</unclear>, texts/xml/caes0122.xml
pro, pro, , transcription, pro, texts/xml/caes0122.xml
sevir, sevir, , transcription, </lb>sevir</supplied>, texts/xml/caes0122.xml
Γρηγόριος, Γρηγόριος, , transcription, Γρηγόριος</supplied>, texts/xml/hamm0021.xml
Διὶ, Διὶ, , transcription, Δι</abbr>ὶ, texts/xml/caes0124.xml
Δολιχηνῷ, Δολιχηνῷ, , transcription, </lb>Δολιχηνῷ., texts/xml/caes0124.xml
Δάφνην, Δάφνην, , transcription, Δάφνην, texts/xml/caes0126.xml
Εὐσεβία, Εὐσεβία, , transcription, Εὐσεβία, texts/xml/hamm0021.xml
Θεῶιε, Θεῶιε, , transcription, Θεῶιε</unclear>, texts/xml/caes0125.xml
Καικίλλιος, Καικίλλιος, , transcription, Καικίλλιος, texts/xml/caes0126.xml
Κοΐντος, Κοΐντος, , transcription, Κ</abbr>οΐντος</ex></expan>, texts/xml/caes0126.xml
Μαξιμῖνος, Μαξιμῖνος, , transcription, Μαξιμῖνος, texts/xml/hamm0021.xml
Οὐίκτορά­, Οὐίκτορά­, , transcription, Οὐίκτορά</unclear>­, texts/xml/caes0124.xml
αὐτοῦ, αὐτοῦ, , transcription, αὐτοῦ., texts/xml/hamm0021.xml
γάσετο, γάσετο, , transcription, </lb>γάσετο, texts/xml/caes0124.xml
εὐξάμενος, εὐξάμενος, , transcription, </lb>εὐξάμενος, texts/xml/caes0126.xml
ζυγοστάτης, ζυγοστάτης, , transcription, </lb>ζυγοστάτης, texts/xml/hamm0021.xml
θηκεν, θηκεν, , transcription, </lb>θηκεν, texts/xml/caes0124.xml
καὶ, καὶ, , transcription, κ</abbr>αὶ</ex></expan>, texts/xml/hamm0021.xml
κωμῳδὸς, κωμῳδὸς, , transcription, </lb>κωμῳδὸς, texts/xml/caes0126.xml
κὲ, κὲ, , transcription, κὲ, texts/xml/caes0124.xml
λόγος, λόγος, , transcription, </lb>λόγος, texts/xml/caes0126.xml
μενος, μενος, , transcription, </lb>μενος, texts/xml/caes0124.xml
μνησθῇ, μνησθῇ, , transcription, μνησθῇ, texts/xml/hamm0021.xml
ους, ους, , transcription, </unclear></gap>ους, texts/xml/caes0126.xml
πρωτο­, πρωτο­, , transcription, πρω</supplied>το­, texts/xml/caes0126.xml
πρὸς, πρὸς, , transcription, πρὸς, texts/xml/caes0126.xml
πότηι, πότηι, , transcription, πότηι</gap></supplied>, texts/xml/caes0125.xml
ς, ς, , transcription, ς</unclear>, texts/xml/caes0125.xml
τούτῳ, τούτῳ, , transcription, </lb>τούτῳ, texts/xml/hamm0021.xml
τέκνα, τέκνα, , transcription, τέκνα, texts/xml/hamm0021.xml
τῶν, τῶν, , transcription, </lb>τῶν, texts/xml/caes0126.xml
τῷ, τῷ, , transcription, τῷ, texts/xml/caes0124.xml
אדני, אדני, , transcription, א</supplied>דני, texts/xml/mger0150.xml
אשר, אשר, , transcription, </lb>אשר, texts/xml/mger0150.xml
אשתו, אשתו, , transcription, אש</supplied>תו, texts/xml/mger0150.xml
במקדש, במקדש, , transcription, במקדש</p></div>, texts/xml/mger0150.xml
בן, בן, , transcription, בן</supplied>, texts/xml/mger0150.xml
בניו, בניו, , transcription, בניו, texts/xml/mger0150.xml
הקריב, הקריב, , transcription, ה</supplied>קריב, texts/xml/mger0150.xml
ועל, ועל, , transcription, ועל, texts/xml/mger0150.xml
יוספ, יוספ, , transcription, יוספ, texts/xml/mger0150.xml
לפני, לפני, , transcription, </lb>לפני, texts/xml/mger0150.xml
על, על, , transcription, </lb>על, texts/xml/mger0150.xml
ἀνέ­, ἀνέ­, , transcription, ἀνέ­, texts/xml/caes0124.xml
ἀνέθηκεν, ἀνέθηκεν, , transcription, ἀνέθη</abbr>κεν</ex></expan>., texts/xml/caes0126.xml
Ἀντιοχεὺς, Ἀντιοχεὺς, , transcription, Ἀντιοχεὺς</supplied>, texts/xml/caes0126.xml
Ἀσκληπιῷ, Ἀσκληπιῷ, , transcription, Ἀ</unclear>σκ</abbr>Ἀσκληπιῷ</expan>, texts/xml/caes0127.xml
Ἐν, Ἐν, , transcription, Ἐν, texts/xml/hamm0021.xml
ἠρ­, ἠρ­, , transcription, ἠρ­, texts/xml/caes0124.xml
ὁ, ὁ, , transcription, ὁ, texts/xml/hamm0021.xml
