!, !, arc-transl, , </rs>!, texts/xml/beth0281.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0002.xml
1, 1, arc-transl, , 1;, texts/xml/idum0005.xml
1, 1, arc-transl, , 1;, texts/xml/idum0006.xml
1, 1, arc-transl, , 1;, texts/xml/idum0015.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0017.xml
1, 1, arc-transl, , 1;, texts/xml/idum0024.xml
1, 1, arc-transl, , 1, texts/xml/idum0030.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0031.xml
1, 1, arc-transl, , 1;, texts/xml/idum0042.xml
1, 1, arc-transl, , 1, texts/xml/idum0043.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0044.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0053.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0054.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0055.xml
1, 1, arc-transl, , 1., texts/xml/idum0058.xml
1, 1, arc-transl, , 1&#44;, texts/xml/idum0061.xml
1, 1, arc-transl, , 1;, texts/xml/idum0062.xml
1, 1, arc-transl, , 1., texts/xml/idum0066.xml
1, 1, arc-transl, , 1., texts/xml/idum0068.xml
1, 1, arc-transl, , 1&#44;, texts/xml/idum0071.xml
1, 1, arc-transl, , 1., texts/xml/idum0074.xml
1, 1, arc-transl, , 1., texts/xml/idum0082.xml
1, 1, arc-transl, , 1&#44;, texts/xml/idum0084.xml
1, 1, arc-transl, , 1;, texts/xml/idum0093.xml
1, 1, arc-transl, , 1</p></div>, texts/xml/idum0095.xml
1, 1, arc-transl, , 1</p></div>, texts/xml/idum0097.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0104.xml
1, 1, arc-transl, , [+1], texts/xml/idum0105.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0106.xml
1, 1, arc-transl, , 1., texts/xml/idum0108.xml
1, 1, arc-transl, , 1., texts/xml/idum0117.xml
1, 1, arc-transl, , 1., texts/xml/idum0119.xml
1, 1, arc-transl, , 1, texts/xml/idum0123.xml
1, 1, arc-transl, , 1;...[...].</p></div>, texts/xml/idum0126.xml
1, 1, arc-transl, , 1., texts/xml/idum0128.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0129.xml
1, 1, arc-transl, , 1;, texts/xml/idum0130.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0132.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0136.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0139.xml
1, 1, arc-transl, , </lb>1., texts/xml/idum0143.xml
1, 1, arc-transl, , 1;, texts/xml/idum0149.xml
1, 1, arc-transl, , 1;, texts/xml/idum0153.xml
1, 1, arc-transl, , 1;, texts/xml/idum0155.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0160.xml
1, 1, arc-transl, , 1;, texts/xml/idum0161.xml
1, 1, arc-transl, , 1;, texts/xml/idum0212.xml
1, 1, arc-transl, , 1&#44;, texts/xml/idum0229.xml
1, 1, arc-transl, , 1., texts/xml/idum0299.xml
1, 1, arc-transl, , 1;, texts/xml/idum0306.xml
1, 1, arc-transl, , 1).</p></div>, texts/xml/idum0309a.xml
1, 1, arc-transl, , 1;, texts/xml/idum0311.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0313.xml
1, 1, arc-transl, , 1., texts/xml/idum0317.xml
1, 1, arc-transl, , 1, texts/xml/idum0320.xml
1, 1, arc-transl, , 1;, texts/xml/idum0328.xml
1, 1, arc-transl, , 1;, texts/xml/idum0334.xml
1, 1, arc-transl, , 1;, texts/xml/idum0335.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0336.xml
1, 1, arc-transl, , 1, texts/xml/idum0337.xml
1, 1, arc-transl, , 1.</p></div>, texts/xml/idum0340.xml
1, 1, arc-transl, , 1;, texts/xml/idum0386.xml
1, 1, arc-transl, , 1&#44;, texts/xml/mare0018a.xml
1, 1, arc-transl, , 1</p></div>, texts/xml/mare0018b.xml
1, 1, arc-transl, , 1(?), texts/xml/mare0020.xml
1, 1, arc-transl, , </lb>1, texts/xml/mare0074.xml
1, 1, arc-transl, , 1&#44;, texts/xml/mare0079.xml
1, 1, arc-transl, , 1;, texts/xml/mare0080.xml
1, 1, arc-transl, , 1, texts/xml/mare0085.xml
1, 1, arc-transl, , </lb>1, texts/xml/mare0087.xml
1, 1, arc-transl, , 1...;, texts/xml/unkn0104.xml
1, 1, arc-transl, , 1&#44;, texts/xml/unkn0107.xml
10, 10, arc-transl, , </lb>10&#44;, texts/xml/akko0100.xml
10, 10, arc-transl, , 10;, texts/xml/idum0028.xml
10, 10, arc-transl, , 10, texts/xml/idum0032.xml
10, 10, arc-transl, , 10, texts/xml/idum0062.xml
10, 10, arc-transl, , 10.</p></div>, texts/xml/idum0063.xml
10, 10, arc-transl, , 10, texts/xml/idum0094.xml
10, 10, arc-transl, , 10., texts/xml/idum0120.xml
10, 10, arc-transl, , 10.</p></div>, texts/xml/idum0140.xml
10, 10, arc-transl, , 10, texts/xml/idum0225.xml
10, 10, arc-transl, , 10, texts/xml/idum0309a.xml
10, 10, arc-transl, , 10;, texts/xml/idum0317.xml
10, 10, arc-transl, , 10[+?], texts/xml/idum0324.xml
10, 10, arc-transl, , 10;, texts/xml/mare0022.xml
10, 10, arc-transl, , 10]</p></div>, texts/xml/mare0082.xml
10, 10, arc-transl, , 10</p></div>, texts/xml/mare0086.xml
10, 10, arc-transl, , 10[+, texts/xml/masa0420.xml
100, 100, arc-transl, , </lb>100, texts/xml/mare0137.xml
1020, 1020, arc-transl, , </lb>1020&#44;, texts/xml/masa0577.xml
10th, 10th, arc-transl, , 10th, texts/xml/idum0039.xml
10th, 10th, arc-transl, , 10th, texts/xml/mare0016.xml
11, 11, arc-transl, translation, 11</p></div>, texts/xml/masa0591.xml
12, 12, arc-transl, , 12, texts/xml/mare0014.xml
12, 12, arc-transl, , 12&#44;, texts/xml/mare0015.xml
12, 12, arc-transl, , 12, texts/xml/masa0420.xml
12, 12, arc-transl, , 1/2</p></div>, texts/xml/masa0425.xml
12, 12, arc-transl, , 1/2, texts/xml/masa0426.xml
12, 12, arc-transl, , 12, texts/xml/unkn0104.xml
122=14, 122=14, arc-transl, , 12+2(=14)</p></div>, texts/xml/idum0305.xml
13, 13, arc-transl, , 13&#44;, texts/xml/idum0025.xml
13, 13, arc-transl, , 13, texts/xml/idum0028.xml
13, 13, arc-transl, , 13;, texts/xml/idum0124.xml
13, 13, arc-transl, , 13.</p></div>, texts/xml/idum0161.xml
13, 13, arc-transl, , 13, texts/xml/mare0014.xml
13, 13, arc-transl, , 13)&#44;, texts/xml/unkn0104.xml
13, 13, arc-transl, , </lb>13, texts/xml/unkn0105.xml
13, 13, arc-transl, translation, 13, texts/xml/mare0086.xml
13th, 13th, arc-transl, , 13th, texts/xml/idum0300.xml
13th, 13th, arc-transl, , 13th, texts/xml/idum0301.xml
13th, 13th, arc-transl, , 13th, texts/xml/idum0303.xml
13th, 13th, arc-transl, , 13th, texts/xml/unkn0104.xml
14, 14, arc-transl, , 14), texts/xml/unkn0105.xml
14th, 14th, arc-transl, , 14th, texts/xml/idum0011.xml
14th, 14th, arc-transl, , 14th, texts/xml/idum0058.xml
14th, 14th, arc-transl, , </lb>14th, texts/xml/unkn0104.xml
15, 15, arc-transl, , 15;, texts/xml/idum0086.xml
15, 15, arc-transl, , 15.</p></div>, texts/xml/idum0178.xml
15, 15, arc-transl, , 15[...]&#44;, texts/xml/idum0222.xml
15, 15, arc-transl, , 15., texts/xml/idum0341.xml
15, 15, arc-transl, , 1.5, texts/xml/mare0074.xml
1516, 1516, arc-transl, , 15...16, texts/xml/unkn0105.xml
16, 16, arc-transl, , 16;, texts/xml/idum0029.xml
16, 16, arc-transl, , 16.</p></div>, texts/xml/idum0045.xml
16, 16, arc-transl, , 16;, texts/xml/idum0052.xml
16, 16, arc-transl, , 16;, texts/xml/idum0333.xml
16, 16, arc-transl, , 16.</p></div>, texts/xml/masa0582.xml
17, 17, arc-transl, , 17;, texts/xml/idum0017.xml
17, 17, arc-transl, , 17&#44;, texts/xml/idum0018.xml
17, 17, arc-transl, , 17.</p></div>, texts/xml/idum0144.xml
17, 17, arc-transl, , 17;, texts/xml/idum0335.xml
18, 18, arc-transl, , 18;, texts/xml/idum0007.xml
18, 18, arc-transl, , 18, texts/xml/idum0019.xml
18, 18, arc-transl, , 18, texts/xml/idum0020.xml
18, 18, arc-transl, , 18;, texts/xml/idum0118.xml
18, 18, arc-transl, , 18, texts/xml/mare0071.xml
18th, 18th, arc-transl, , 18th, texts/xml/idum0173.xml
19, 19, arc-transl, , 19;, texts/xml/idum0086.xml
19, 19, arc-transl, , 19;, texts/xml/idum0168.xml
19, 19, arc-transl, , </lb>19&#44;, texts/xml/idum0216.xml
1and, 1and, arc-transl, , 1(and, texts/xml/idum0024.xml
1st, 1st, arc-transl, , 1st, texts/xml/idum0040.xml
1st, 1st, arc-transl, , 1st, texts/xml/idum0127.xml
2, 2, arc-transl, , 2.</p></div>, texts/xml/idum0007.xml
2, 2, arc-transl, , 2</p></div>, texts/xml/idum0010.xml
2, 2, arc-transl, , 2&#44;, texts/xml/idum0024.xml
2, 2, arc-transl, , 2;, texts/xml/idum0030.xml
2, 2, arc-transl, , 2, texts/xml/idum0056.xml
2, 2, arc-transl, , 2., texts/xml/idum0058.xml
2, 2, arc-transl, , 2.</p></div>, texts/xml/idum0072.xml
2, 2, arc-transl, , 2.</p></div>, texts/xml/idum0087.xml
2, 2, arc-transl, , 2;, texts/xml/idum0107.xml
2, 2, arc-transl, , 2.</p></div>, texts/xml/idum0110.xml
2, 2, arc-transl, , 2.</p></div>, texts/xml/idum0112.xml
2, 2, arc-transl, , 2;, texts/xml/idum0122.xml
2, 2, arc-transl, , 2., texts/xml/idum0137.xml
2, 2, arc-transl, , 2., texts/xml/idum0151.xml
2, 2, arc-transl, , 2;, texts/xml/idum0155.xml
2, 2, arc-transl, , 2;, texts/xml/idum0156.xml
2, 2, arc-transl, , 2;, texts/xml/idum0159.xml
2, 2, arc-transl, , 2, texts/xml/idum0166.xml
2, 2, arc-transl, , 2, texts/xml/idum0172.xml
2, 2, arc-transl, , 2., texts/xml/idum0177.xml
2, 2, arc-transl, , 2.</p></div>, texts/xml/idum0179.xml
2, 2, arc-transl, , ]2;, texts/xml/idum0205.xml
2, 2, arc-transl, , 2&#44;, texts/xml/idum0207.xml
2, 2, arc-transl, , 2., texts/xml/idum0214.xml
2, 2, arc-transl, , 2., texts/xml/idum0218.xml
2, 2, arc-transl, , 2.</p></div>, texts/xml/idum0225.xml
2, 2, arc-transl, , 2[...].</p></div>, texts/xml/idum0227.xml
2, 2, arc-transl, , 2;, texts/xml/idum0297.xml
2, 2, arc-transl, , 2., texts/xml/idum0300.xml
2, 2, arc-transl, , 2;, texts/xml/idum0301.xml
2, 2, arc-transl, , 2;, texts/xml/idum0306.xml
2, 2, arc-transl, , 2;, texts/xml/idum0310.xml
2, 2, arc-transl, , 2, texts/xml/idum0312.xml
2, 2, arc-transl, , [2;, texts/xml/idum0326.xml
2, 2, arc-transl, , 2, texts/xml/idum0375.xml
2, 2, arc-transl, , 2., texts/xml/idum0379.xml
2, 2, arc-transl, , 2;, texts/xml/idum0385.xml
2, 2, arc-transl, , 2, texts/xml/mare0018a.xml
2, 2, arc-transl, , 2, texts/xml/mare0071.xml
2, 2, arc-transl, , 2, texts/xml/mare0074.xml
2, 2, arc-transl, , 2</p></div>, texts/xml/mare0079.xml
2, 2, arc-transl, , 2, texts/xml/mare0084.xml
2, 2, arc-transl, , 2, texts/xml/mare0085.xml
2, 2, arc-transl, , </lb>2, texts/xml/masa0424.xml
2, 2, arc-transl, , 2, texts/xml/masa0554.xml
2, 2, arc-transl, , 2, texts/xml/unkn0105.xml
2, 2, arc-transl, , 2, texts/xml/unkn0107.xml
2, 2, arc-transl, translation, 2</p></div>, texts/xml/masa0592.xml
