1, 1, arc, transcription, 1</num>, texts/idum0001.xml
1, 1, arc, transcription, 1</num>, texts/idum0002.xml
1, 1, arc, transcription, 1</num>, texts/idum0005.xml
1, 1, arc, transcription, 1</num>, texts/idum0006.xml
1, 1, arc, transcription, 1</num>, texts/idum0015.xml
1, 1, arc, transcription, 1</num>, texts/idum0017.xml
1, 1, arc, transcription, 1</num>, texts/idum0018.xml
1, 1, arc, transcription, 1+</num>, texts/idum0019.xml
1, 1, arc, transcription, 1, texts/idum0022.xml
1, 1, arc, transcription, 1</num>, texts/idum0023.xml
1, 1, arc, transcription, 1</num>, texts/idum0024.xml
1, 1, arc, transcription, 1</num>, texts/idum0030.xml
1, 1, arc, transcription, 1</num>, texts/idum0031.xml
1, 1, arc, transcription, 1</num>, texts/idum0040.xml
1, 1, arc, transcription, 1</num>, texts/idum0042.xml
1, 1, arc, transcription, </unclear>1</num>, texts/idum0043.xml
1, 1, arc, transcription, [+1</num>], texts/idum0044.xml
1, 1, arc, transcription, 1</num>, texts/idum0053.xml
1, 1, arc, transcription, 1</num>, texts/idum0054.xml
1, 1, arc, transcription, 1</num>, texts/idum0055.xml
1, 1, arc, transcription, 1</num>, texts/idum0057.xml
1, 1, arc, transcription, 1</num>, texts/idum0058.xml
1, 1, arc, transcription, 1</num>, texts/idum0061.xml
1, 1, arc, transcription, 1</num>, texts/idum0062.xml
1, 1, arc, transcription, 1</num>, texts/idum0066.xml
1, 1, arc, transcription, 1</num>, texts/idum0068.xml
1, 1, arc, transcription, 1</num>, texts/idum0071.xml
1, 1, arc, transcription, 1</num>, texts/idum0074.xml
1, 1, arc, transcription, 1</num>, texts/idum0075.xml
1, 1, arc, transcription, 1</num>, texts/idum0081.xml
1, 1, arc, transcription, 1</num>, texts/idum0082.xml
1, 1, arc, transcription, 1</num>, texts/idum0084.xml
1, 1, arc, transcription, 1</num>, texts/idum0093.xml
1, 1, arc, transcription, 1</num>, texts/idum0095.xml
1, 1, arc, transcription, 1</num>, texts/idum0097.xml
1, 1, arc, transcription, 1</num>, texts/idum0104.xml
1, 1, arc, transcription, 1</num>+</hi>, texts/idum0105.xml
1, 1, arc, transcription, 1</num>, texts/idum0107.xml
1, 1, arc, transcription, 1</num>, texts/idum0108.xml
1, 1, arc, transcription, 1</num>, texts/idum0109.xml
1, 1, arc, transcription, 1</num>, texts/idum0117.xml
1, 1, arc, transcription, 1</num>, texts/idum0118.xml
1, 1, arc, transcription, 1</num>, texts/idum0119.xml
1, 1, arc, transcription, 1</num>, texts/idum0123.xml
1, 1, arc, transcription, 1</num>, texts/idum0126.xml
1, 1, arc, transcription, 1</num>, texts/idum0127.xml
1, 1, arc, transcription, 1</num>, texts/idum0128.xml
1, 1, arc, transcription, 1</num>, texts/idum0130.xml
1, 1, arc, transcription, 1</num>, texts/idum0132.xml
1, 1, arc, transcription, 1</num>, texts/idum0136.xml
1, 1, arc, transcription, 1</num>, texts/idum0139.xml
1, 1, arc, transcription, </lb>1</num>, texts/idum0143.xml
1, 1, arc, transcription, 1</num>, texts/idum0149.xml
