!, !, grc-transl, transcription, </rs>!, texts/xml/beth0194.xml
!, !, grc-transl, transcription, </persName>!</p></div>, texts/xml/caes0041.xml
!, !, grc-transl, transcription, </persName></name>!</p></div>, texts/xml/caes0138.xml
1, 1, grc-transl, transcription, 1, texts/xml/caes0109.xml
10, 10, grc-transl, translation, 10</p></div>, texts/xml/mare0321.xml
100, 100, grc-transl, transcription, </lb>100:, texts/xml/caes0109.xml
102, 102, grc-transl, transcription, </lb>102, texts/xml/caes0109.xml
12, 12, grc-transl, transcription, 12, texts/xml/caes0109.xml
13, 13, grc-transl, transcription, 1/3, texts/xml/caes0109.xml
14, 14, grc-transl, transcription, 1/4, texts/xml/caes0109.xml
1415, 1415, grc-transl, transcription, 14/15, texts/xml/caes0109.xml
15, 15, grc-transl, transcription, 15, texts/xml/caes0109.xml
150, 150, grc-transl, transcription, </lb>150:, texts/xml/caes0109.xml
16, 16, grc-transl, transcription, 1/6, texts/xml/caes0109.xml
18, 18, grc-transl, transcription, </lb>18:, texts/xml/caes0109.xml
190, 190, grc-transl, transcription, </lb>190:, texts/xml/caes0109.xml
2, 2, grc-transl, transcription, 2, texts/xml/caes0109.xml
2, 2, grc-transl, translation, 2</p></div>, texts/xml/mare0229.xml
2, 2, grc-transl, translation, 2</p></div>, texts/xml/mare0237.xml
2, 2, grc-transl, translation, 2</p></div>, texts/xml/mare0238.xml
2, 2, grc-transl, translation, 2</p></div>, texts/xml/mare0239.xml
2, 2, grc-transl, translation, 2</p></div>, texts/xml/mare0240.xml
2, 2, grc-transl, translation, 2</p></div>, texts/xml/mare0241.xml
2, 2, grc-transl, translation, 2</p></div>, texts/xml/mare0242.xml
2, 2, grc-transl, translation, 2</p></div>, texts/xml/mare0243.xml
2, 2, grc-transl, translation, 2</p></div>, texts/xml/mare0244.xml
20, 20, grc-transl, transcription, 20&#44;, texts/xml/jeru0307.xml
24, 24, grc-transl, transcription, </lb>24:, texts/xml/caes0109.xml
27th, 27th, grc-transl, translation, ...27th</p></div>, texts/xml/elus0079.xml
3, 3, grc-transl, transcription, </lb>3, texts/xml/caes0109.xml
3, 3, grc-transl, translation, 3</p></div>, texts/xml/mare0056.xml
30th, 30th, grc-transl, translation, ...30th</p></div>, texts/xml/elus0049.xml
32, 32, grc-transl, transcription, 32., texts/xml/kkom0001.xml
3772, 3772, grc-transl, transcription, 37/72, texts/xml/caes0109.xml
4, 4, grc-transl, transcription, </lb>4:, texts/xml/caes0109.xml
4, 4, grc-transl, transcription, </lb>4, texts/xml/masa0779.xml
42nd, 42nd, grc-transl, transcription, 42nd, texts/xml/hamm0054.xml
441, 441, grc-transl, transcription, 441, texts/xml/rehn0001.xml
445, 445, grc-transl, transcription, 445)</p></div>, texts/xml/rehn0001.xml
471, 471, grc-transl, transcription, 471.</p></div>, texts/xml/caes0137.xml
5, 5, grc-transl, transcription, 5., texts/xml/tdor0003.xml
5, 5, grc-transl, translation, 5</p></div>, texts/xml/mare0199.xml
518, 518, grc-transl, transcription, 5/18, texts/xml/caes0109.xml
518, 518, grc-transl, transcription, 518.</date></p></div>, texts/xml/hamm0002.xml
56, 56, grc-transl, transcription, 5/6, texts/xml/caes0109.xml
5629, 5629, grc-transl, transcription, </rs></space>5629, texts/xml/caes0109.xml
6, 6, grc-transl, transcription, </lb>6:, texts/xml/caes0109.xml
6, 6, grc-transl, transcription, 6&#44;, texts/xml/kkom0001.xml
611, 611, grc-transl, transcription, 611, texts/xml/caes0109.xml
6th, 6th, grc-transl, transcription, 6th, texts/xml/hamm0054.xml
7, 7, grc-transl, translation, 7.</p></div>, texts/xml/tdor0001.xml
70, 70, grc-transl, translation, 70</p></div>, texts/xml/zoor0288.xml
726, 726, grc-transl, transcription, 726, texts/xml/hamm0054.xml
8, 8, grc-transl, transcription, 8, texts/xml/caes0109.xml
8, 8, grc-transl, transcription, </lb>8, texts/xml/masa0779.xml
8, 8, grc-transl, transcription, </lb>8</p></div>, texts/xml/masa0780.xml
9, 9, grc-transl, transcription, 9&#44;, texts/xml/hamm0002.xml
9, 9, grc-transl, transcription, </lb>9, texts/xml/masa0779.xml
90, 90, grc-transl, transcription, </lb>90, texts/xml/masa0780.xml
A, A, grc-transl, transcription, </persName>A----</name>...., texts/xml/caes0194.xml
A, A, grc-transl, transcription, A:, texts/xml/zoor0373.xml
A, A, grc-transl, translation, A, texts/xml/bani0100.xml
A, A, grc-transl, translation, A, texts/xml/beth0148.xml
A, A, grc-transl, translation, A...?&#44;</p></div>, texts/xml/fiqg0013.xml
A, A, grc-transl, translation, A</p></div>, texts/xml/mare0270.xml
ABGDEZHQ, ABGDEZHQ, grc-transl, translation, ABGDEZHQ, texts/xml/beth0073.xml
ABGDEZHThIKLMNXOPRSTYPhChPsiW, ABGDEZHThIKLMNXOPRSTYPhChPsiW, grc-transl, translation, ABGDE[ZHTh]IKLMN[XOP]RSTYPhCh[PsiW]</p></div>, texts/xml/mare0182.xml
Abbanos, Abbanos, grc-transl, translation, Abbanos</p></div>, texts/xml/sina0110.xml
Abdallah, Abdallah, grc-transl, transcription, Abdallah, texts/xml/hamm0054.xml
Abiatar, Abiatar, grc-transl, translation, Abiat<a>r</p></div>, texts/xml/haif0030.xml
Abous, Abous, grc-transl, translation, Abous</p></div>, texts/xml/khus0001.xml
Abra, Abra, grc-transl, translation, Abra, texts/xml/beth0042.xml
Abraam, Abraam, grc-transl, translation, Abraam</p></div>, texts/xml/fein0005.xml
Abu, Abu, grc-transl, transcription, Abu, texts/xml/hamm0054.xml
Adone, Adone, grc-transl, transcription, Adone, texts/xml/hamm0015.xml
Adorned, Adorned, grc-transl, translation, Adorned</p></div>, texts/xml/elus0006.xml
Adynatos, Adynatos, grc-transl, transcription, Adynatos</persName>&#44;, texts/xml/hamm0044.xml
Agrippas, Agrippas, grc-transl, translation, Agrippas, texts/xml/beth0196.xml
Agroecios, Agroecios, grc-transl, translation, Agroecios, texts/xml/beth0106.xml
Agronites, Agronites, grc-transl, translation, Agronites, texts/xml/beth0095.xml
Ai, Ai, grc-transl, translation, Ai</p></div>, texts/xml/mare0406.xml
Aiala, Aiala, grc-transl, translation, Aiala</p></div>, texts/xml/haif0021.xml
Aidesios, Aidesios, grc-transl, transcription, Aidesios</persName>&#44;, texts/xml/beth0141.xml
Aidesios, Aidesios, grc-transl, transcription, Aidesios</persName>.</p></div>, texts/xml/beth0142.xml
Aidesios, Aidesios, grc-transl, translation, Aidesios, texts/xml/beth0143.xml
Aigatheos, Aigatheos, grc-transl, transcription, Aigathe(o)s, texts/xml/tqas0001.xml
Ainillas, Ainillas, grc-transl, translation, Ainillas</p></div>, texts/xml/elus0103.xml
Akesnos, Akesnos, grc-transl, transcription, Akesnos&#44;, texts/xml/jeru0307.xml
Alapha, Alapha, grc-transl, translation, Alapha&#44;</p></div>, texts/xml/farj0005.xml
Alexander, Alexander, grc-transl, transcription, Alexander, texts/xml/hamm0033.xml
Alexander, Alexander, grc-transl, transcription, Alexander</persName>&#44;, texts/xml/hamm0050.xml
Alexander, Alexander, grc-transl, transcription, Alexander</persName>.</p></div>, texts/xml/hamm0053.xml
Alexander, Alexander, grc-transl, translation, Alexander, texts/xml/hamm0052.xml
Alexander, Alexander, grc-transl, translation, Ale(xander).</p></div>, texts/xml/jeru0088.xml
Alexandros, Alexandros, grc-transl, transcription, Alexandros, texts/xml/caes0005.xml
Alexandros, Alexandros, grc-transl, transcription, Alexandros</name>&#44;, texts/xml/caes0057.xml
Alexandros, Alexandros, grc-transl, transcription, </rs>Alexandros</persName>&#44;, texts/xml/caes0152.xml
All, All, grc-transl, translation, All</p></div>, texts/xml/haif0009.xml
Along, Along, grc-transl, translation, Along</p></div>, texts/xml/caes0063.xml
Alypis, Alypis, grc-transl, transcription, Alypis, texts/xml/caes0149.xml
Alypis, Alypis, grc-transl, translation, Alypis, texts/xml/beth0197.xml
Alypius, Alypius, grc-transl, transcription, Alypius</persName>&#44;, texts/xml/caes0026.xml
Alypius, Alypius, grc-transl, transcription, Alypius, texts/xml/hamm0013.xml
Amase, Amase, grc-transl, transcription, Amase, texts/xml/beth0011.xml
Amase, Amase, grc-transl, transcription, Amase, texts/xml/beth0012.xml
Ambros, Ambros, grc-transl, transcription, Ambros</persName>...</p></div>, texts/xml/caes0038.xml
Amelianus, Amelianus, grc-transl, transcription, Ameli[anus]</persName>&#44;, texts/xml/hamm0013.xml
Amen, Amen, grc-transl, transcription, Amen</rs>., texts/xml/caes0129.xml
Amen, Amen, grc-transl, transcription, Amen., texts/xml/hamm0002.xml
Amen, Amen, grc-transl, transcription, Amen.</p></div>, texts/xml/hamm0013.xml
Amen, Amen, grc-transl, transcription, Amen.</p></div>, texts/xml/hamm0035.xml
Amibellos, Amibellos, grc-transl, transcription, Amibellos</persName>.</p></div>, texts/xml/caes0209.xml
Aminean, Aminean, grc-transl, translation, ...Aminean?</p></div>, texts/xml/masa0796.xml
Aminias, Aminias, grc-transl, translation, Aminias, texts/xml/masa0779.xml
Amma, Amma, grc-transl, translation, Amma--, texts/xml/caes0182.xml
Amme, Amme, grc-transl, translation, Amme.</p></div>, texts/xml/jaff0002.xml
Ammia, Ammia, grc-transl, translation, Am(m)ia</p></div>, texts/xml/jeru0029.xml
Ammonianus, Ammonianus, grc-transl, transcription, Ammonianus</persName>&#44;, texts/xml/hamm0011.xml
Amos, Amos, grc-transl, translation, Amos, texts/xml/caes0293.xml
Ampelios, Ampelios, grc-transl, transcription, Ampelios, texts/xml/caes0090.xml
Amphaitha, Amphaitha, grc-transl, transcription, Amphaitha, texts/xml/beth0088.xml
Ampilas, Ampilas, grc-transl, transcription, Ampilas, texts/xml/beth0107.xml
An, An, grc-transl, translation, An</p></div>, texts/xml/caes0134.xml
An, An, grc-transl, translation, An</p></div>, texts/xml/khis0080.xml
Anaelos, Anaelos, grc-transl, translation, ...Anaelos(?).</p></div>, texts/xml/khis0077.xml
Anakios, Anakios, grc-transl, transcription, Anakios, texts/xml/caes0041.xml
Ananias, Ananias, grc-transl, translation, Ananias</p></div>, texts/xml/jeru0228.xml
Anastasia, Anastasia, grc-transl, transcription, Anastasia, texts/xml/caes0204.xml
Anastasia, Anastasia, grc-transl, transcription, Anastasia, texts/xml/caes0211.xml
Anastasios, Anastasios, grc-transl, transcription, Anastasios, texts/xml/beth0099.xml
Anastasios, Anastasios, grc-transl, transcription, Anastasios</persName>&#44;, texts/xml/caes0209.xml
Anastasios, Anastasios, grc-transl, transcription, Anastasios, texts/xml/caes0211.xml
Anastasius, Anastasius, grc-transl, transcription, Anastasius, texts/xml/hamm0034.xml
Anastasius, Anastasius, grc-transl, transcription, Anastasius</persName>&#44;, texts/xml/hamm0050.xml
Anastasius, Anastasius, grc-transl, transcription, </rs>Anastasius</persName>.</p></div>, texts/xml/hamm0051.xml
And, And, grc-transl, transcription, And, texts/xml/beth0131.xml
And, And, grc-transl, transcription, And, texts/xml/caes0026.xml
And, And, grc-transl, transcription, </lb>And, texts/xml/haif0039.xml
And, And, grc-transl, translation, And, texts/xml/beth0068.xml
And, And, grc-transl, translation, And</p></div>, texts/xml/carm0020.xml
And, And, grc-transl, translation, And</p></div>, texts/xml/evro0006.xml
And, And, grc-transl, translation, And, texts/xml/jeru0310.xml
And, And, grc-transl, translation, And</p></div>, texts/xml/mare0301.xml
Andreas, Andreas, grc-transl, transcription, </rs>Andreas</persName>&#44;, texts/xml/caes0039.xml
Anianos, Anianos, grc-transl, transcription, </rs>Anianos, texts/xml/beth0176.xml
Anianos, Anianos, grc-transl, transcription, Anianos</persName>., texts/xml/caes0155.xml
Aninas, Aninas, grc-transl, transcription, Aninas</persName>..&#44;, texts/xml/hamm0070.xml
Aninas, Aninas, grc-transl, translation, Aninas.</p></div>, texts/xml/jeru0158.xml
