1, , grc, transcription, 1., texts/beth0170.xml
13, , grc, transcription, 13</p></div>, texts/jeru0310.xml
2, , grc, transcription, </lb>2., texts/beth0170.xml
3, , grc, transcription, </lb>3., texts/beth0170.xml
463, , grc, transcription, 463., texts/evro0007.xml
491, , grc, transcription, </lb>491&#44;, texts/evro0005.xml
500, , grc, transcription, 500, texts/carm0001.xml
538, , grc, transcription, 538.</p></div>, texts/evro0008.xml
667, , grc, transcription, 667., texts/khis0083.xml
7, , grc, transcription, 7&#44;, texts/khis0083.xml
=, =, grc, transcription, =, texts/beth0163.xml
A, A, grc, transcription, A</unclear>, texts/fiqg0013.xml
A, A, grc, transcription, A, texts/sena0005.xml
Amineum, Amineum, grc, transcription, </lb>Am</abbr>ineum</ex></expan>, texts/masa0796.xml
Amineum, Amineum, grc, transcription, </lb>Am</abbr>ineum</ex></expan>, texts/masa0797.xml
Aug, Aug, grc, transcription, </supplied>A</supplied>ug</abbr>, texts/caes0027.xml
Augusto, Augusto, grc, transcription, </supplied>Augusto</expan>, texts/caes0027.xml
Aὐδυναίου, Aὐδυναίου, grc, transcription, Aὐδυναίου</corr></choice>, texts/zoor0201.xml
Bεροῦτοϛ, Bεροῦτοϛ, grc, transcription, </lb>Bεροῦτοϛ, texts/akld0007.xml
Caesare, Caesare, grc, transcription, </lb>Cae</abbr>sare</ex></expan>, texts/masa0795.xml
Caesare, Caesare, grc, transcription, </lb></p></div>Cae</abbr>sare</ex></expan>, texts/masa0796.xml
Caesari, Caesari, grc, transcription, Caes</abbr>ari</ex></expan>, texts/caes0027.xml
Cαμι, Cαμι, grc, transcription, C</lb>αμι, texts/hamm0048.xml
Cεουῇρος, Cεουῇρος, grc, transcription, </lb>Cεου</supplied>ῇρος, texts/hamm0039.xml
Cεργία, Cεργία, grc, transcription, Cεργία, texts/hamm0037.xml
Cιλανὸς, Cιλανὸς, grc, transcription, Cι</supplied>λανὸς, texts/hamm0018.xml
Cιρικίῳ, Cιρικίῳ, grc, transcription, </lb>Cιρικίῳ, texts/hamm0026.xml
Cλεοπάτρα, Cλεοπάτρα, grc, transcription, </lb>Cλεο</lb>πάτρα</p></div>, texts/eluy0002.xml
Cτρατηγιος, Cτρατηγιος, grc, transcription, Cτρατηγιο</add>ς, texts/hamm0018.xml
Cτρατήγιος, Cτρατήγιος, grc, transcription, Cτρα</lb>τήγιο</add>ς, texts/hamm0007.xml
Cυνκλήτιος, Cυνκλήτιος, grc, transcription, Cυνκλήτιος, texts/hamm0035.xml
Cωσίβιος, Cωσίβιος, grc, transcription, Cωσίβι</supplied>ος?, texts/sepp0014.xml
Eὐτυχίδης, Eὐτυχίδης, grc, transcription, Eὐτυχίδης</p></div>, texts/haif0041.xml
FFF, FFF, grc, transcription, _F_F_F, texts/evro0011.xml
II, II, grc, transcription, II</unclear></num></p></div>, texts/zoor0392.xml
IΥE, IΥE, grc, transcription, </lb>IΥE</orig>, texts/kede0001.xml
Kασσίσου, Kασσίσου, grc, transcription, </lb>Kασσίσου, texts/zoor0286.xml
L, L, grc, transcription, L</unclear>, texts/jeri0003.xml
L, L, grc, transcription, L</am>, texts/mare0215.xml
L, L, grc, transcription, </lb>L, texts/mare0217.xml
L, L, grc, transcription, L, texts/mare0218.xml
L, L, grc, transcription, L</gap>, texts/sena0005.xml
LΚ, LΚ, grc, transcription, LΚ, texts/jeru0062.xml
Lανομοῦντοςα, Lανομοῦντοςα, grc, transcription, Lα</unclear></lb>νομοῦν</unclear></lb>τοςα</unclear>, texts/mare0209.xml
Lανομοῦντοςθοκλέους, Lανομοῦντοςθοκλέους, grc, transcription, Lα</unclear></lb>νομοῦν</lb>τος</lb>θοκλέου</unclear>ς</supplied></p></div>, texts/mare0210.xml
Lε᾽ἀγορανομοῦντος, Lε᾽ἀγορανομοῦντος, grc, transcription, Lε</unclear>᾽ἀγορα</unclear></lb>νομοῦ</unclear>ντος</supplied></p></div>, texts/mare0211.xml
LϝΜΡ, LϝΜΡ, grc, transcription, </lb>LϝΜ</unclear>Ρ</p></div>, texts/mare0212.xml
M, M, grc, transcription, </lb>M</unclear></gap></p></div>, texts/zoor0350.xml
MAPAT, MAPAT, grc, transcription, </lb>MAPAT, texts/shap0001.xml
Mαρία, Mαρία, grc, transcription, </lb>Mαρία</supplied>, texts/zoor0345.xml
Mαργαλίης, Mαργαλίης, grc, transcription, Mαργαλίης, texts/zoor0201.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/zoor0010.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/zoor0011.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/zoor0012.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/zoor0013.xml
Mνημεῖον, Mνημεῖον, grc, transcription, </lb>Mνημεῖον</corr></choice>, texts/zoor0014.xml
Mνημεῖον, Mνημεῖον, grc, transcription, </lb>Mνημεῖον</corr></choice>, texts/zoor0015.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/zoor0035.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/zoor0036.xml
Mνημῖ, Mνημῖ, grc, transcription, Mνημῖ, texts/zoor0277.xml
Mνημῖαν, Mνημῖαν, grc, transcription, </lb>Mνημῖαν</sic>, texts/zoor0283.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/zoor0278.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/zoor0279.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/zoor0280.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/zoor0281.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/zoor0282.xml
Mνημῖον, Mνημῖον, grc, transcription, </lb>Mνημῖον</sic>, texts/zoor0284.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/zoor0285.xml
Mνῆμα, Mνῆμα, grc, transcription, Mνῆμα, texts/iopp0003.xml
N, N, grc, transcription, N</gap>, texts/sena0005.xml
Robb, Robb, grc, transcription, Robb., texts/beth0163.xml
S, S, grc, transcription, S</del>., texts/hamm0057.xml
Sκαὶ, Sκαὶ, grc, transcription, </lb>S</am>καὶ</ex></expan>, texts/beth0036.xml
T, T, grc, transcription, T</abbr>, texts/caes0012.xml
T, T, grc, transcription, T</unclear>, texts/zoor0207.xml
TPRIM, TPRIM, grc, transcription, TPRIM, texts/hamm0022.xml
VII, VII, grc, transcription, </choice>VII, texts/caes0027.xml
VII, VII, grc, transcription, VII</num>, texts/masa0795.xml
VIII, VIII, grc, transcription, VIII</supplied>., texts/caes0027.xml
VIII, VIII, grc, transcription, VIII</p></div>, texts/masa0796.xml
Vespasiano, Vespasiano, grc, transcription, Ves</abbr>pasiano</ex></expan>, texts/caes0027.xml
XVII, XVII, grc, transcription, XVII, texts/caes0027.xml
XVIIII, XVIIII, grc, transcription, XVIII</supplied>I, texts/caes0027.xml
Zώϊλος, Zώϊλος, grc, transcription, Zώϊλος, texts/tibe0004.xml
a, a, grc, transcription, </lb>a, texts/masa0941.xml
ai, ai, grc, transcription, ai</unclear>, texts/masa0942d.xml
also, also, grc, transcription, also, texts/hamm0022.xml
and, and, grc, transcription, and, texts/tibe0004.xml
ant, ant, grc, transcription, ant</unclear>, texts/masa0942a.xml
augures, augures, grc, transcription, </lb></gap>augur</abbr>e</ex>s</abbr></expan>, texts/caes0123.xml
b, b, grc, transcription, b, texts/masa0941.xml
c, c, grc, transcription, c, texts/masa0941.xml
censori, censori, grc, transcription, censori</supplied>, texts/caes0027.xml
center, center, grc, transcription, center, texts/tibe0004.xml
central, central, grc, transcription, </lb>(central, texts/tibe0004.xml
consuli, consuli, grc, transcription, </supplied>consuli</expan>, texts/caes0027.xml
corr, corr, grc, transcription, corr., texts/beth0163.xml
cos, cos, grc, transcription, </supplied>co</supplied>s</abbr>, texts/caes0027.xml
d, d, grc, transcription, d, texts/masa0941.xml
devotus, devotus, grc, transcription, d</abbr>evotus</ex></expan>, texts/caes0029.xml
e, e, grc, transcription, e</unclear>, texts/caes0029.xml
e, e, grc, transcription, e, texts/masa0941.xml
eastern, eastern, grc, transcription, eastern, texts/tibe0004.xml
ed, ed, grc, transcription, ed.&#44;, texts/beth0163.xml
ed, ed, grc, transcription, ed.</note>, texts/beth0185.xml
ed, ed, grc, transcription, ed.</note></p></div>, texts/beth0189.xml
eius, eius, grc, transcription, eius</expan>, texts/caes0029.xml
expan=ἔτουςἔτου, expan=ἔτουςἔτου, grc, transcription, </lb>expan="ἔτους">ἔτου</abbr>, texts/zoor0013.xml
expan=ἡμέρᾳἡμ, expan=ἡμέρᾳἡμ, grc, transcription, expan="ἡμέρᾳ">ἡμ</abbr>, texts/zoor0136.xml
f, f, grc, transcription, f, texts/masa0941.xml
for, for, grc, transcription, for, texts/hamm0022.xml
h, h, grc, transcription, h, texts/masa0941.xml
hedera, hedera, grc, transcription, (hedera), texts/beth0149.xml
hedera, hedera, grc, transcription, (hedera), texts/beth0210.xml
imperatori, imperatori, grc, transcription, imp</abbr>eratori</ex></expan>, texts/caes0027.xml
loύφα, loύφα, grc, transcription, </lb>loύφα&#44;, texts/zoor0060.xml
m, m, grc, transcription, </lb></gap></unclear></unclear></unclear>m</unclear>, texts/caes0200.xml
maiestatique, maiestatique, grc, transcription, m</abbr>aiestatique</ex></expan>, texts/caes0029.xml
maximo, maximo, grc, transcription, </choice>max</abbr>imo</ex></expan>, texts/caes0027.xml
might, might, grc, transcription, might, texts/hamm0022.xml
nac, nac, grc, transcription, nac</unclear>, texts/masa0942c.xml
northeastern, northeastern, grc, transcription, </lb>(northeastern, texts/tibe0004.xml
northern, northern, grc, transcription, northern, texts/tibe0004.xml
northwestern, northwestern, grc, transcription, </lb>(northwestern, texts/tibe0004.xml
numini, numini, grc, transcription, n</abbr>umini</ex></expan>, texts/caes0029.xml
or, or, grc, transcription, or, texts/beth0212.xml
or, or, grc, transcription, or, texts/beth0213.xml
or, or, grc, transcription, or, texts/caes0027.xml
or, or, grc, transcription, or, texts/caes0211.xml
or, or, grc, transcription, or, texts/kafr0010.xml
or, or, grc, transcription, </gap>(or, texts/squf0003.xml
oς, oς, grc, transcription, </lb>o</unclear>ς, texts/kede0004.xml
patri, patri, grc, transcription, </lb></gap>p</abbr>atri</ex></expan>, texts/caes0027.xml
patriae, patriae, grc, transcription, p</abbr>atriae</ex></expan>, texts/caes0027.xml
pont, pont, grc, transcription, </choice>pont</supplied>, texts/caes0027.xml
pontifici, pontifici, grc, transcription, </choice>pontifici</expan>, texts/caes0027.xml
potestate, potestate, grc, transcription, pot</abbr>estate</ex></expan>, texts/caes0027.xml
southeastern, southeastern, grc, transcription, (southeastern, texts/tibe0004.xml
southern, southern, grc, transcription, southern, texts/tibe0004.xml
southwestern, southwestern, grc, transcription, </lb>(southwestern, texts/tibe0004.xml
square, square, grc, transcription, square), texts/tibe0004.xml
squares, squares, grc, transcription, squares), texts/tibe0004.xml
stand, stand, grc, transcription, stand, texts/hamm0022.xml
t, t, grc, transcription, t</unclear>, texts/masa0942b.xml
tribunicia, tribunicia, grc, transcription, trib</abbr>unicia</ex></expan>, texts/caes0027.xml
western, western, grc, transcription, western, texts/tibe0004.xml
­, ­, grc, transcription, </gap>­, texts/caes0167.xml
­, ­, grc, transcription, </gap>­, texts/caes0241.xml
­, ­, grc, transcription, </unclear></gap>­, texts/caes0324.xml
­, ­, grc, transcription, </hi></gap>­, texts/caes0326.xml
´, ´, grc, transcription, </gap>´, texts/bshe0009.xml
̒Ελικίου, ̒Ελικίου, grc, transcription, ̒Ελικίου, texts/ashk0002.xml
̔͂οδε, ̔͂οδε, grc, transcription, ̔͂οδε, texts/bshe0011.xml
Άββι, Άββι, grc, transcription, Άββι</p></div>, texts/jaff0045.xml
Άρίστων, Άρίστων, grc, transcription, Άρίστων, texts/akld0020.xml
Άστερίου, Άστερίου, grc, transcription, </lb>Άστε</lb>ρίου</p></div>, texts/jaff0046.xml
Έπὶ, Έπὶ, grc, transcription, </lb>Έπὶ, texts/bshe0121.xml
Έρωτοϛ, Έρωτοϛ, grc, transcription, Έρωτοϛ, texts/akld0009.xml
Έρώταϛ, Έρώταϛ, grc, transcription, Έρώταϛ</p></div>, texts/akld0006.xml
Έρώταϛ, Έρώταϛ, grc, transcription, </lb>Έρώταϛ</p></div>, texts/akld0007.xml
Ίεσούα, Ίεσούα, grc, transcription, </lb>Ίεσούα</p></div>, texts/akld0005.xml
Α, Α, grc, transcription, </lb>Α, texts/beth0093.xml
Α, Α, grc, transcription, Α, texts/beth0155.xml
Α, Α, grc, transcription, Α</unclear>, texts/caes0156.xml
Α, Α, grc, transcription, Α</unclear>, texts/caes0194.xml
Α, Α, grc, transcription, </gap>Α, texts/caes0240.xml
Α, Α, grc, transcription, Α</unclear>, texts/caes0278.xml
Α, Α, grc, transcription, </lb></gap></unclear>Α</unclear>, texts/caes0375.xml
Α, Α, grc, transcription, Α</p></div>, texts/elus0033.xml
Α, Α, grc, transcription, </unclear>Α</unclear>, texts/elus0034.xml
Α, Α, grc, transcription, </lb>Α</unclear>, texts/elus0047.xml
Α, Α, grc, transcription, Α, texts/elus0074.xml
Α, Α, grc, transcription, </gap>Α</gap>, texts/elus0076.xml
Α, Α, grc, transcription, </lb>Α, texts/hafa0001.xml
Α, Α, grc, transcription, Α</p></div>, texts/haif0012.xml
Α, Α, grc, transcription, Α., texts/khis0071.xml
Α, Α, grc, transcription, Α</p></div>, texts/masa0285.xml
Α, Α, grc, transcription, </lb>Α, texts/rafi0002.xml
Α, Α, grc, transcription, Α</unclear>, texts/sena0006.xml
Α, Α, grc, transcription, Α</unclear>, texts/zoor0003.xml
Α, Α, grc, transcription, </lb></gap>Α, texts/zoor0087.xml
Α, Α, grc, transcription, </lb></gap>Α</unclear>, texts/zoor0127.xml
Α, Α, grc, transcription, Α, texts/zoor0135.xml
Α, Α, grc, transcription, Α</gap>, texts/zoor0296.xml
Α, Α, grc, transcription, </lb>Α</gap>, texts/zoor0384.xml
ΑΑΛ, ΑΑΛ, grc, transcription, ΑΑΛ, texts/beth0166.xml
ΑΒ, ΑΒ, grc, transcription, </lb>ΑΒ</p></div>, texts/jeru0122.xml
ΑΒΒΑΝΟΣ, ΑΒΒΑΝΟΣ, grc, transcription, ΑΒΒΑΝΟΣ</p></div>, texts/sina0110.xml
ΑΒΓΔ, ΑΒΓΔ, grc, transcription, ΑΒΓΔ, texts/jeri0006.xml
ΑΒΓΔΕΖΗΘ, ΑΒΓΔΕΖΗΘ, grc, transcription, ΑΒΓΔΕΖΗΘ, texts/beth0073.xml
ΑΔΕΛΦΑΣ, ΑΔΕΛΦΑΣ, grc, transcription, ΑΔΕΛΦΑΣ, texts/caes0156.xml
ΑΖΟΝ, ΑΖΟΝ, grc, transcription, ΑΖΟΝ</p></div>, texts/elus0071.xml
ΑΘΙΣ, ΑΘΙΣ, grc, transcription, ΑΘΙΣ, texts/beth0166.xml
ΑΙΔΟ, ΑΙΔΟ, grc, transcription, ΑΙΔΟ</unclear>, texts/caes0156.xml
ΑΙΕ, ΑΙΕ, grc, transcription, ΑΙΕ, texts/beth0181.xml
ΑΙΕΝΕΤ, ΑΙΕΝΕΤ, grc, transcription, </lb></gap>ΑΙΕΝΕΤ</unclear>, texts/elus0005.xml
ΑΙΕΡΙΖΕΝ, ΑΙΕΡΙΖΕΝ, grc, transcription, Α</unclear>ΙΕΡΙΖΕ</unclear>Ν</gap>, texts/caes0156.xml
ΑΙΤ, ΑΙΤ, grc, transcription, </lb></gap></unclear>ΑΙΤ</gap>, texts/elus0024.xml
ΑΙΩΝΟΣ, ΑΙΩΝΟΣ, grc, transcription, ΑΙΩΝΟΣ</p></div>, texts/shea0001.xml
ΑΙοὐδὺς, ΑΙοὐδὺς, grc, transcription, </lb>ΑΙοὐ</supplied>δὺς, texts/elus0034.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</supplied>, texts/geze0001.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/geze0002.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/geze0003.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/geze0004.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/geze0005.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/geze0006.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/geze0007.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟ</unclear>Υ</foreign>, texts/geze0008.xml
ΑΝΑ, ΑΝΑ, grc, transcription, ΑΝΑ</unclear>, texts/zoor0083.xml
ΑΝΗΣΑΤΟΥ, ΑΝΗΣΑΤΟΥ, grc, transcription, </lb>ΑΝΗΣΑΤΟΥ</unclear>, texts/zoor0083.xml
ΑΝΙΑΝΟΥ, ΑΝΙΑΝΟΥ, grc, transcription, ΑΝΙΑΝΟΥ, texts/beth0232.xml
ΑΝΥΑ, ΑΝΥΑ, grc, transcription, </lb>ΑΝΥΑ, texts/beth0166.xml
ΑΟ, ΑΟ, grc, transcription, </lb></gap>Α</unclear>Ο</unclear>, texts/elus0009.xml
ΑΟΥ, ΑΟΥ, grc, transcription, Α</unclear>ΟΥ</unclear>, texts/caes0156.xml
ΑΠΟ, ΑΠΟ, grc, transcription, </lb>ΑΠΟ, texts/shea0001.xml
ΑΡΙ, ΑΡΙ, grc, transcription, </gap>ΑΡΙ</gap>, texts/elus0079.xml
ΑΣ, ΑΣ, grc, transcription, </gap>Α</unclear>Σ, texts/sena0006.xml
ΑΣΚΑ, ΑΣΚΑ, grc, transcription, </lb></gap>ΑΣΚΑ</unclear>, texts/elus0076.xml
ΑΤ, ΑΤ, grc, transcription, </lb></gap>Α</unclear>Τ</gap></p></div>, texts/caes0394.xml
ΑΤΩΝΔ, ΑΤΩΝΔ, grc, transcription, </lb></gap>ΑΤΩΝΔ</gap>, texts/yavn0001.xml
ΑΥΟ, ΑΥΟ, grc, transcription, </lb>Α</unclear>ΥΟ, texts/zoor0319.xml
Αίωνος, Αίωνος, grc, transcription, Αίωνος, texts/evro0005.xml
Αίών, Αίών, grc, transcription, Αίών, texts/evro0003.xml
Αβελαθουτω, Αβελαθουτω, grc, transcription, </lb>Αβελαθουτω, texts/rafi0002.xml
Αβους, Αβους, grc, transcription, Αβους, texts/khus0001.xml
Αβω, Αβω, grc, transcription, Α</unclear>βω, texts/tala0002.xml
Αγαθῇ, Αγαθῇ, grc, transcription, Αγαθῇ, texts/bshe0004.xml
Αγαθῇ, Αγαθῇ, grc, transcription, Αγαθῇ, texts/eluy0003.xml
Αιο, Αιο, grc, transcription, Αιο, texts/khis0074.xml
Ακραβης, Ακραβης, grc, transcription, Ακραβης, texts/ulat0009.xml
Αλα, Αλα, grc, transcription, Αλα, texts/rafi0011.xml
Αλαφ, Αλαφ, grc, transcription, </lb>Αλαφ</gap>, texts/akas0002.xml
Αλαφ, Αλαφ, grc, transcription, Αλ</unclear>αφ, texts/farj0005.xml
Αλε, Αλε, grc, transcription, Αλε, texts/iopp0004.xml
Αλλ, Αλλ, grc, transcription, Α</unclear>λλ, texts/mums0001.xml
Αλου, Αλου, grc, transcription, </lb>Α</unclear>λου</unclear>, texts/kafr0003.xml
Αναηλος, Αναηλος, grc, transcription, </lb>Αναη</supplied>λος, texts/khis0077.xml
Ανιν, Ανιν, grc, transcription, Ανιν, texts/kafr0003.xml
