1, 1, he-transl, translation, 1</p></div>, texts/xml/masa0590.xml
11, 11, he-transl, translation, 11</p></div>, texts/xml/masa0599.xml
11, 11, he-transl, translation, 11</p></div>, texts/xml/masa0604.xml
1180, 1180, he-transl, transcription, </lb>1180</p></div>, texts/xml/masa0605.xml
13, 13, he-transl, translation, 13</p></div>, texts/xml/masa0602.xml
13, 13, he-transl, translation, 13</p></div>, texts/xml/masa0603.xml
1357, 1357, he-transl, translation, 1357, texts/xml/masa0605.xml
14, 14, he-transl, transcription, </lb>14, texts/xml/masa0605.xml
2, 2, he-transl, translation, 2, texts/xml/masa0601.xml
3, 3, he-transl, transcription, </lb>3</p></div>, texts/xml/masa0393.xml
3, 3, he-transl, transcription, 3, texts/xml/masa0395.xml
3, 3, he-transl, translation, 3, texts/xml/masa0598.xml
4, 4, he-transl, transcription, </lb>4, texts/xml/masa0398.xml
47, 47, he-transl, transcription, </lb>47, texts/xml/masa0605.xml
5, 5, he-transl, translation, 5</p></div>, texts/xml/masa0597.xml
9, 9, he-transl, translation, 9</p></div>, texts/xml/masa0600.xml
A, A, he-transl, translation, A</p></div>, texts/xml/masa0516.xml
AB, AB, he-transl, translation, AB</p></div>, texts/xml/beth0234.xml
Amen, Amen, he-transl, transcription, Ame[n, texts/xml/huqo0001.xml
Ananias, Ananias, he-transl, translation, A[nani]as</p></div>, texts/xml/masa0461.xml
And, And, he-transl, translation, And, texts/xml/huqo0001.xml
Anguish, Anguish, he-transl, translation, Anguish, texts/xml/haif0010.xml
Anina, Anina, he-transl, translation, Anina, texts/xml/beth0233.xml
ArbaglaArbagula, ArbaglaArbagula, he-transl, translation, Arbagla/Arbagula&#44;</p></div>, texts/xml/erra0002.xml
Aries, Aries, he-transl, translation, Aries, texts/xml/tibe0001.xml
Ariston, Ariston, he-transl, transcription, Ariston</p></div>, texts/xml/akld0024.xml
Autumn, Autumn, he-transl, translation, Autumn</p></div>, texts/xml/tibe0008.xml
Be, Be, he-transl, translation, Be</p></div>, texts/xml/mari0004.xml
Behold, Behold, he-transl, translation, Behold&#44;</p></div>, texts/xml/masa0449.xml
Behold, Behold, he-transl, translation, Behold&#44;</p></div>, texts/xml/masa0450.xml
Behold, Behold, he-transl, translation, Behold&#44;</p></div>, texts/xml/masa0451.xml
Behold, Behold, he-transl, translation, Behold&#44;</p></div>, texts/xml/masa0452.xml
Ben, Ben, he-transl, translation, (Ben</p></div>, texts/xml/hali0001.xml
Besay, Besay, he-transl, translation, Besay</p></div>, texts/xml/masa0506.xml
Blessed, Blessed, he-transl, translation, Blessed</p></div>, texts/xml/unkn0103.xml
Blessing, Blessing, he-transl, translation, Blessing, texts/xml/masa0393.xml
Buta, Buta, he-transl, translation, Buta</p></div>, texts/xml/unkn0100.xml
Clean, Clean, he-transl, translation, Clean</p></div>, texts/xml/masa0456.xml
Cyrillos, Cyrillos, he-transl, translation, Cyrillos, texts/xml/beth0251.xml
Daughter, Daughter, he-transl, translation, Daughter</p></div>, texts/xml/masa0401.xml
Disqualified, Disqualified, he-transl, translation, Disqualified</p></div>, texts/xml/masa0455.xml
Dositheos, Dositheos, he-transl, translation, Dositheos</p></div>, texts/xml/masa0382.xml
Dried, Dried, he-transl, translation, Dried, texts/xml/masa0537.xml
Dried, Dried, he-transl, translation, Dried, texts/xml/masa0540.xml
Elazar, Elazar, he-transl, transcription, 'El'azar, texts/xml/qumr0001.xml
Eleazar, Eleazar, he-transl, transcription, </lb>Eleazar, texts/xml/masa0038.xml
Eleazar, Eleazar, he-transl, translation, Eleazar</p></div>, texts/xml/masa0469.xml
Eleazar, Eleazar, he-transl, translation, Eleazar</p></div>, texts/xml/masa0475.xml
Eleazar, Eleazar, he-transl, translation, Eleazar</p></div>, texts/xml/masa0476.xml
Eleazar, Eleazar, he-transl, translation, Eleazar, texts/xml/masa0510.xml
Eleazar, Eleazar, he-transl, translation, Eleazar</supplied>, texts/xml/masa0511.xml
Ele‘azar, Ele‘azar, he-transl, translation, Ele‘azar</p></div>, texts/xml/masa0381.xml
Eli‘ezer, Eli‘ezer, he-transl, translation, Eli‘ezer</p></div>, texts/xml/masa0390.xml
Eshmun, Eshmun, he-transl, transcription, Esh[mun...]</p></div>, texts/xml/tdor0002.xml
Ezra, Ezra, he-transl, translation, Ezra</p></div>, texts/xml/masa0394.xml
Figcake, Figcake, he-transl, transcription, </lb>Fig-cake</p></div>, texts/xml/masa0537.xml
Figcake, Figcake, he-transl, transcription, </lb>Fig-cake</p></div>, texts/xml/masa0540.xml
Figcake, Figcake, he-transl, translation, Fig-cake</p></div>, texts/xml/masa0538.xml
Figcake, Figcake, he-transl, translation, Fig-cake</p></div>, texts/xml/masa0539.xml
Four, Four, he-transl, translation, Four, texts/xml/masa0585.xml
Germelqart, Germelqart, he-transl, translation, Germelqart</p></div>, texts/xml/tana0001.xml
Great, Great, he-transl, translation, Great</p></div>, texts/xml/masa0391.xml
Hanania, Hanania, he-transl, translation, Hanania</p></div>, texts/xml/shap0002.xml
Hananiah, Hananiah, he-transl, transcription, </lb>Hananiah, texts/xml/masa0484.xml
Hananiah, Hananiah, he-transl, translation, Hananiah</p></div>, texts/xml/masa0392.xml
Hananiah, Hananiah, he-transl, translation, Hananiah</p></div>, texts/xml/masa0486.xml
Hananiahson, Hananiahson, he-transl, translation, ...Hananiah...son</p></div>, texts/xml/jaff0057.xml
Hanina, Hanina, he-transl, transcription, </lb>Hanina, texts/xml/masa0484.xml
Hanina, Hanina, he-transl, translation, Hanina</p></div>, texts/xml/masa0488.xml
Hannah, Hannah, he-transl, translation, Hannah</p></div>, texts/xml/akld0011.xml
Hannah, Hannah, he-transl, translation, Hannah</p></div>, texts/xml/akld0012.xml
Helene, Helene, he-transl, translation, Helene</p></div>, texts/xml/akld0016.xml
Her, Her, he-transl, translation, Her, texts/xml/beth0235.xml
Here, Here, he-transl, translation, Here, texts/xml/beth0237.xml
Hezekiah, Hezekiah, he-transl, translation, Hezekiah</p></div>, texts/xml/masa0385.xml
Hezekin, Hezekin, he-transl, translation, Hezekin</p></div>, texts/xml/masa0386.xml
Hillel, Hillel, he-transl, translation, Hillel</p></div>, texts/xml/masa0473.xml
Hny, Hny, he-transl, transcription, Hny, texts/xml/qumr0001.xml
Isaac, Isaac, he-transl, translation, Isaac, texts/xml/beth0258.xml
Isaiah, Isaiah, he-transl, translation, Isaiah</p></div>, texts/xml/masa0411.xml
It, It, he-transl, translation, It</p></div>, texts/xml/bshe0101.xml
Jacob, Jacob, he-transl, translation, Jacob</p></div>, texts/xml/haif0011.xml
Jacob, Jacob, he-transl, translation, Jacob</p></div>, texts/xml/masa0499.xml
Jacob, Jacob, he-transl, translation, Jacob</p></div>, texts/xml/masa0500.xml
Jacob, Jacob, he-transl, translation, Jacob</p></div>, texts/xml/masa0501.xml
Jehoseph, Jehoseph, he-transl, translation, ...Jehose]ph</p></div>, texts/xml/qumr0002.xml
Jehu, Jehu, he-transl, translation, Jehu(?), texts/xml/masa0398.xml
Jericho, Jericho, he-transl, transcription, Jericho&#44;, texts/xml/qumr0001.xml
Johanan, Johanan, he-transl, transcription, </lb>Johanan, texts/xml/masa0484.xml
Johanan, Johanan, he-transl, translation, Johanan, texts/xml/masa0484.xml
Johanan, Johanan, he-transl, translation, Johanan</p></div>, texts/xml/masa0485.xml
Johanan, Johanan, he-transl, translation, Johanan</p></div>, texts/xml/masa0487.xml
Judah, Judah, he-transl, transcription, </lb>Judah, texts/xml/masa0484.xml
Judah, Judah, he-transl, transcription, </lb>Jud[ah]</p></div>, texts/xml/masa0547.xml
Judah, Judah, he-transl, translation, Judah, texts/xml/beth0249.xml
Judah, Judah, he-transl, translation, Judah, texts/xml/beth0256.xml
Judah, Judah, he-transl, translation, Judah, texts/xml/beth0265.xml
Judah, Judah, he-transl, translation, Ju</supplied>dah</p></div>, texts/xml/masa0471.xml
Judah, Judah, he-transl, translation, Judah</p></div>, texts/xml/masa0489.xml
Judah, Judah, he-transl, translation, Judah</p></div>, texts/xml/masa0490.xml
Judah, Judah, he-transl, translation, Ju</supplied>dah</p></div>, texts/xml/masa0491.xml
Judah, Judah, he-transl, translation, Judah</p></div>, texts/xml/masa0492.xml
Judah, Judah, he-transl, translation, Ju</supplied>dah</p></div>, texts/xml/masa0493.xml
Judahthegood, Judahthegood, he-transl, translation, [J]ud[ah]</persName>....thegood, texts/xml/beth0263.xml
Kyrilla, Kyrilla, he-transl, translation, Kyrilla, texts/xml/beth0240.xml
Leontios, Leontios, he-transl, translation, Leontios, texts/xml/beth0272.xml
Lines, Lines, he-transl, translation, (Lines, texts/xml/jord0001.xml
Mark, Mark, he-transl, translation, Mark</p></div>, texts/xml/jent0001.xml
Mattiah, Mattiah, he-transl, translation, Mattiah</p></div>, texts/xml/anna0001.xml
Mattiah, Mattiah, he-transl, translation, Mattiah</p></div>, texts/xml/masa0498.xml
Milkn, Milkn, he-transl, translation, Milkn[...], texts/xml/tdor0002.xml
Miriam, Miriam, he-transl, translation, Miriam, texts/xml/beth0243.xml
Miriam, Miriam, he-transl, translation, Miriam</p></div>, texts/xml/jeru0300.xml
My, My, he-transl, translation, My</p></div>, texts/xml/masa0389.xml
N, N, he-transl, transcription, N...[...], texts/xml/qumr0001.xml
Natira, Natira, he-transl, translation, Natira</p></div>, texts/xml/akld0023.xml
Of, Of, he-transl, translation, Of</p></div>, texts/xml/geze0100.xml
Of, Of, he-transl, translation, Of, texts/xml/thar0001.xml
On, On, he-transl, translation, On, texts/xml/qumr0001.xml
Onias, Onias, he-transl, translation, Onias.</p></div>, texts/xml/masa0505.xml
Osha‘yah, Osha‘yah, he-transl, translation, Osha‘yah</p></div>, texts/xml/masa0384.xml
PN, PN, he-transl, translation, [PN]</p></div>, texts/xml/masa0503.xml
PN, PN, he-transl, translation, [PN]</p></div>, texts/xml/masa0504.xml
Parigoris, Parigoris, he-transl, translation, Parigoris, texts/xml/beth0257.xml
Patrin, Patrin, he-transl, translation, Patrin</p></div>, texts/xml/masa0413.xml
Pay, Pay, he-transl, translation, Pay</p></div>, texts/xml/seph0100.xml
Peace, Peace, he-transl, transcription, </lb>P]eace</p></div>, texts/xml/huqo0001.xml
Peace, Peace, he-transl, translation, Peace, texts/xml/beth0236.xml
Peace, Peace, he-transl, translation, Peace, texts/xml/beth0266.xml
Peace, Peace, he-transl, translation, Peace, texts/xml/beth0268.xml
Peace, Peace, he-transl, translation, Peace, texts/xml/beth0269.xml
Peace, Peace, he-transl, translation, Peace, texts/xml/beth0270.xml
Peace, Peace, he-transl, translation, Peace, texts/xml/beth0274.xml
Peace, Peace, he-transl, translation, Peace, texts/xml/beth0276.xml
Peace, Peace, he-transl, translation, ...Peace.</p></div>, texts/xml/jaff0040.xml
Peace, Peace, he-transl, translation, Peace</p></div>, texts/xml/jent0005.xml
Presumably, Presumably, he-transl, translation, Presumably</p></div>, texts/xml/shap0003.xml
Priests, Priests, he-transl, translation, ...Priests, texts/xml/beth0260.xml
Priests, Priests, he-transl, translation, Priest's</p></div>, texts/xml/masa0441.xml
Rabbi, Rabbi, he-transl, translation, Rabbi, texts/xml/beth0230.xml
Rabbi, Rabbi, he-transl, translation, Rabbi, texts/xml/beth0238.xml
Rabbi, Rabbi, he-transl, translation, Rabbi</p></div>, texts/xml/jaff0052.xml
Rise, Rise, he-transl, translation, Rise</p></div>, texts/xml/neta0001.xml
Ruth, Ruth, he-transl, translation, Ruth</persName>&#44;</p></div>, texts/xml/beth0262.xml
Salon, Salon, he-transl, transcription, </lb>Salon, texts/xml/akld0024.xml
Seasoning, Seasoning, he-transl, translation, Seasoning</p></div>, texts/xml/masa0551.xml
See, See, he-transl, translation, See</p></div>, texts/xml/masa0039.xml
See, See, he-transl, translation, See</p></div>, texts/xml/masa0514.xml
Selah, Selah, he-transl, transcription, Se]la[h], texts/xml/huqo0001.xml
Shabtai, Shabtai, he-transl, translation, Shabtai</p></div>, texts/xml/akld0021.xml
Shalom, Shalom, he-transl, translation, Shalom, texts/xml/akld0024.xml
Shalom, Shalom, he-transl, translation, Shalom&#44;</p></div>, texts/xml/jeru0017.xml
Shalom, Shalom, he-transl, translation, Shalom</p></div>, texts/xml/masa0404.xml
Shappira, Shappira, he-transl, translation, Shappira&#44;</p></div>, texts/xml/unkn0101.xml
Shaul, Shaul, he-transl, transcription, </lb>Shaul, texts/xml/masa0038.xml
Shaul, Shaul, he-transl, translation, </p>Shaul, texts/xml/masa0038.xml
Shaul, Shaul, he-transl, translation, Shaul</p></div>, texts/xml/masa0410.xml
Shaul, Shaul, he-transl, translation, Shaul</p></div>, texts/xml/masa0508.xml
Shaul, Shaul, he-transl, translation, Shaul</p></div>, texts/xml/masa0509.xml
Shaul, Shaul, he-transl, translation, Shaul</p></div>, texts/xml/shap0004.xml
Shelamzin, Shelamzin, he-transl, translation, Shelamzin</p></div>, texts/xml/akld0019.xml
Shem, Shem, he-transl, translation, Shem, texts/xml/jent0004.xml
Shimeon, Shimeon, he-transl, translation, Shimeon</p></div>, texts/xml/masa0416.xml
Shimeon, Shimeon, he-transl, translation, Shimeon</p></div>, texts/xml/masa0462.xml
Shimeon, Shimeon, he-transl, translation, Shimeon&#44;</p></div>, texts/xml/masa0463.xml
Shimeon, Shimeon, he-transl, translation, Shimeon, texts/xml/masa0464.xml
Shimeon, Shimeon, he-transl, translation, Shimeon</p></div>, texts/xml/masa0465.xml
Shimeon, Shimeon, he-transl, translation, Shimeon</p></div>, texts/xml/masa0466.xml
Shimeon, Shimeon, he-transl, translation, Shimeon</p></div>, texts/xml/masa0467.xml
Shimeon, Shimeon, he-transl, translation, Shimeon</supplied>, texts/xml/masa0478.xml
Shimeon, Shimeon, he-transl, translation, Shimeon&#44;</p></div>, texts/xml/masa0479.xml
Shimon, Shimon, he-transl, translation, Shim'on&#44;</p></div>, texts/xml/erra0001.xml
Shimon, Shimon, he-transl, translation, Shim'on</p></div>, texts/xml/juda0001.xml
Shim‘on, Shim‘on, he-transl, translation, Shim‘on, texts/xml/masa0360.xml
Shobai, Shobai, he-transl, translation, Shobai</p></div>, texts/xml/anna0003.xml
Shobai, Shobai, he-transl, translation, Shobai</p></div>, texts/xml/anna0004.xml
So, So, he-transl, transcription, So, texts/xml/huqo0001.xml
Son, Son, he-transl, translation, Son</p></div>, texts/xml/masa0037.xml
