1, he, transcription, <p>.1, texts/jord0001.xml
Shelamzin, he, transcription, <p>Shelamzin</p></div>, texts/akld0019.xml
Άρίστωνος, he, transcription, Άρίστων<supplied>ος</supplied></foreign>, texts/akld0024.xml
Α, he, transcription, </lb>Α, texts/masa0302.xml
Α, he, transcription, </lb>Α, texts/masa0313.xml
Α, he, transcription, </lb>Α, texts/masa0329.xml
Α, he, transcription, </lb>Α, texts/masa0341.xml
Β, he, transcription, </lb>Β, texts/masa0351.xml
Ρ, he, transcription, </gap></gap>Ρ</gap>, texts/masa0595.xml
Σαλών, he, transcription, <foreign>Σαλώ<supplied>ν</supplied>, texts/akld0024.xml
א, he, transcription, <p>א</p></div>, texts/unkn0102.xml
אב, he, transcription, <p>אב, texts/beth0234.xml
אבי, he, transcription, <p>אבי</p></div>, texts/masa0389.xml
אושעיה, he, transcription, <unclear>א</unclear>ושעיה</p></div>, texts/masa0384.xml
אח, he, transcription, א<unclear>ח</unclear></gap>, texts/qumr0001.xml
אחיה, he, transcription, <p>אחיה, texts/beth0235.xml
אין, he, transcription, <p>אין</p></div>, texts/caes0500.xml
איסטמכוס, he, transcription, </lb><unclear>אי</unclear>סט<unclear>מ</unclear>כוס</p></div>, texts/masa0413.xml
אלהנו, he, transcription, </lb>אלהנו, texts/unkn0103.xml
אלו, he, transcription, <p>אלו, texts/beth0239.xml
אליעזר, he, transcription, <p>אליעזר</p></div>, texts/masa0390.xml
אלכסנדריה, he, transcription, </lb><supplied>אלכסנ</supplied><unclear>ד</unclear>ריה, texts/jaff0057.xml
אלעוד, he, transcription, <p>אלעוד</p></div>, texts/masa0469.xml
אלעזר, he, transcription, אלעזר, texts/jeru0303.xml
אלעזר, he, transcription, </lb>אלעזר, texts/masa0038.xml
אלעזר, he, transcription, <p>אלעזר</p></div>, texts/masa0381.xml
אלעזר, he, transcription, <p>אלעזר</p></div>, texts/masa0476.xml
אלעזר, he, transcription, <p>אלעזר</p></div>, texts/masa0510.xml
אלעזר, he, transcription, <p>אלע<supplied>זר</supplied>, texts/masa0511.xml
אמות, he, transcription, אמות, texts/masa0585.xml
אנינא, he, transcription, <p>אנינא, texts/beth0233.xml
אפלגנה, he, transcription, </lb>אפלגנה</p></div>, texts/unkn0101.xml
אפמלס, he, transcription, <p>אפמלס</p></div>, texts/seph0100.xml
ארבגלא, he, transcription, <p>ארבגלא</p></div>, texts/erra0002.xml
ארבע, he, transcription, <p>ארבע, texts/masa0585.xml
ארבע, he, transcription, <p>ארבע</p></div>, texts/masa0586.xml
ארסטון, he, transcription, ארסטון</p></div>, texts/akld0024.xml
אשמנ, he, transcription, אש<supplied>מנ</supplied>, texts/tdor0002.xml
אשעיה, he, transcription, <p>אשעיה, texts/masa0411.xml
אשת, he, transcription, <p>אשת</p></div>, texts/masa0400.xml
את, he, transcription, </lb>את, texts/qumr0001.xml
אתת, he, transcription, <p>אתת, texts/masa0399.xml
אתת, he, transcription, <p>אתת</p></div>, texts/masa0402.xml
ב, he, transcription, <p>ב</p></div>, texts/jent0001.xml
ב, he, transcription, <p>ב, texts/masa0401.xml
ב, he, transcription, ב</unclear></gap>, texts/qumr0001.xml
בה, he, transcription, <supplied>ב</supplied>ה, texts/masa0449.xml
בה, he, transcription, בה, texts/masa0450.xml
