110, 110, la-transl, translation, 110?</p></div>, texts/xml/masa0848.xml
112, 112, la-transl, translation, 112</p></div>, texts/xml/masa0847.xml
20, 20, la-transl, translation, 20</p></div>, texts/xml/masa0849.xml
21, 21, la-transl, translation, 21</p></div>, texts/xml/masa0846.xml
30, 30, la-transl, translation, 30</p></div>, texts/xml/masa0845.xml
40, 40, la-transl, translation, 40</p></div>, texts/xml/masa0850.xml
44, 44, la-transl, translation, 44</p></div>, texts/xml/masa0823.xml
76, 76, la-transl, translation, 76</p></div>, texts/xml/masa0824.xml
A, A, la-transl, translation, A, texts/xml/caes0045.xml
A, A, la-transl, translation, A</p></div>, texts/xml/caes0046.xml
A, A, la-transl, translation, A, texts/xml/caes0047.xml
A, A, la-transl, translation, A</p></div>, texts/xml/caes0048.xml
A, A, la-transl, translation, A, texts/xml/caes0049.xml
A, A, la-transl, translation, A, texts/xml/caes0053.xml
A, A, la-transl, translation, A...</p></div>, texts/xml/mare0422.xml
Acilius, Acilius, la-transl, transcription, Acilius, texts/xml/caes0016.xml
Aelius, Aelius, la-transl, transcription, Aelius, texts/xml/caes0011.xml
Aemilius, Aemilius, la-transl, translation, Aemilius</p></div>, texts/xml/masa0750.xml
Africanus, Africanus, la-transl, transcription, </persName>Africanus, texts/xml/caes0009.xml
Africanus, Africanus, la-transl, transcription, </persName>Africanus, texts/xml/caes0107.xml
Agrippa, Agrippa, la-transl, transcription, </persName>Agrippa</persName>, texts/xml/caes0003.xml
Agrippa, Agrippa, la-transl, transcription, </persName>Agrippa, texts/xml/caes0032.xml
Ancharius, Ancharius, la-transl, translation, Ancharius</p></div>, texts/xml/masa0751.xml
Ancharius, Ancharius, la-transl, translation, Ancharius</p></div>, texts/xml/masa0752.xml
Ancharius, Ancharius, la-transl, translation, Ancharius</p></div>, texts/xml/masa0753.xml
Ancharius, Ancharius, la-transl, translation, Ancharius</p></div>, texts/xml/masa0754.xml
Ancharius, Ancharius, la-transl, translation, Ancharius</p></div>, texts/xml/masa0755.xml
Annius, Annius, la-transl, translation, Annius</p></div>, texts/xml/masa0756.xml
Annius, Annius, la-transl, translation, Annius</p></div>, texts/xml/masa0757.xml
Antoniniana, Antoniniana, la-transl, transcription, Antoniniana&#44;, texts/xml/caes0004.xml
Antoniniana, Antoniniana, la-transl, transcription, Antoniniana&#44;, texts/xml/caes0018.xml
Antonius, Antonius, la-transl, transcription, </persName>Antonius, texts/xml/caes0107.xml
Arabs, Arabs, la-transl, transcription, Arabs, texts/xml/caes0004.xml
Arbaeus, Arbaeus, la-transl, transcription, Arbaeus, texts/xml/caes0009.xml
Asian, Asian, la-transl, transcription, Asian, texts/xml/caes0004.xml
Aufidius, Aufidius, la-transl, transcription, Aufidius, texts/xml/caes0014.xml
Aufidius, Aufidius, la-transl, transcription, Aufidius, texts/xml/caes0017.xml
Aufidius, Aufidius, la-transl, translation, Aufidius</p></div>, texts/xml/masa0758.xml
