A, ab, la, transcription, A</unclear>, texts/xml/caes0008.xml
A, ab, la, transcription, A</unclear>, texts/xml/masa0827.xml
ACER, acer, la, transcription, </gap>ACER</unclear>, texts/xml/caes0008.xml
AM, AM, la, transcription, </gap>AM</unclear>, texts/xml/masa0915.xml
Acilius, Acilius, la, transcription, </lb>Acilius, texts/xml/caes0016.xml
Aelio, Aelio, la, transcription, </lb>Aelio, texts/xml/caes0353.xml
Aelion, Aelion, la, transcription, Aelion</unclear>, texts/xml/caes0011.xml
Africano, Africano, la, transcription, </lb>Africano, texts/xml/caes0107.xml
Africanus, Africanus, la, transcription, Africanus, texts/xml/caes0009.xml
Agrippae, Agrippae, la, transcription, Agrippae, texts/xml/caes0032.xml
Agrippam, Agrippam, la, transcription, Agrippam, texts/xml/caes0003.xml
Agustus, Agustus, la, transcription, Agustus, texts/xml/yotv0001.xml
Amphorae, amphora, la, transcription, </lb>A</abbr>mphorae</ex></expan>, texts/xml/masa0826.xml
Antoninianae, Antoninianae, la, transcription, Antoninianae, texts/xml/caes0004.xml
Antoninianae, Antoninianae, la, transcription, </lb>Antoninianae</supplied>, texts/xml/caes0018.xml
Antonio, Antonio, la, transcription, Antonio, texts/xml/caes0107.xml
Aphrodilus, Aphrodilus, la, transcription, Aphrodilus, texts/xml/caes0164.xml
Arabos, Arabos, la, transcription, Arabos, texts/xml/caes0004.xml
Arbaeus, Arbaeus, la, transcription, </lb>Arbaeus, texts/xml/caes0009.xml
Asianae, Asianae, la, transcription, Asianae, texts/xml/caes0004.xml
Au, au, la, transcription, </gap></g>Au</unclear>, texts/xml/masa0853.xml
Aufidius, Aufidius, la, transcription, </lb>Aufid</abbr>ius</ex></expan>, texts/xml/caes0014.xml
Aufidius, Aufidius, la, transcription, </lb>Aufid</abbr>ius</ex></expan>, texts/xml/caes0017.xml
Aug, Aug, la, transcription, Au</hi>g</abbr>, texts/xml/caes0006.xml
Aug, Aug, la, transcription, Au</hi>g</abbr>, texts/xml/caes0016.xml
Aug, Aug, la, transcription, Aug</supplied>, texts/xml/caes0018.xml
Aug, Aug, la, transcription, A</supplied>ug</abbr>, texts/xml/caes0049.xml
Aug, Aug, la, transcription, </choice>Au</hi>g</abbr>, texts/xml/caes0054.xml
Aug, Aug, la, transcription, </lb>Aug</abbr>, texts/xml/caes0106.xml
Augustae, augustus, la, transcription, Aug</abbr>ustae</ex></expan>, texts/xml/caes0003.xml
Augustae, augustus, la, transcription, Aug</abbr>ustae</ex></expan>, texts/xml/caes0044.xml
Augusti, augustus, la, transcription, Aug</abbr>usti</ex></expan>, texts/xml/caes0002.xml
Augusti, augustus, la, transcription, Aug</abbr>usti</ex></expan>&#44;, texts/xml/caes0007.xml
Augusti, augustus, la, transcription, Aug</supplied></del></abbr>usti</ex></expan>, texts/xml/caes0008.xml
Augusti, augustus, la, transcription, Aug</abbr>usti</ex></expan>, texts/xml/caes0011.xml
Augusti, augustus, la, transcription, Aug</abbr>usti</ex></expan>, texts/xml/caes0015.xml
Augusti, augustus, la, transcription, Augusti</expan>, texts/xml/caes0018.xml
Augusti, augustus, la, transcription, Aug</abbr>usti</ex></expan>, texts/xml/caes0020.xml
Augusti, augustus, la, transcription, </choice>Aug</abbr>usti</ex></expan>, texts/xml/caes0022.xml
Augusti, augustus, la, transcription, Aug</abbr>usti</ex></expan>, texts/xml/caes0031.xml
Augusti, augustus, la, transcription, Aug</abbr>usti</ex></expan>, texts/xml/caes0034.xml
Augusti, augustus, la, transcription, Aug</abbr>usti</ex></expan>, texts/xml/caes0035.xml
Augusti, augustus, la, transcription, </lb>Aug</abbr>usti</ex></expan>, texts/xml/caes0106.xml
Augusti, augustus, la, transcription, Aug</abbr>usti</ex></expan>, texts/xml/caes0107.xml
Augusto, augustus, la, transcription, Aug</abbr>usto</ex></expan>, texts/xml/bshe0006.xml
Augusto, augustus, la, transcription, Augusto</expan>, texts/xml/caes0006.xml
Augusto, augustus, la, transcription, Au</hi>g</abbr>usto</ex></expan>&#44;, texts/xml/caes0009.xml
Augusto, augustus, la, transcription, Au</unclear>g</abbr>usto</ex></expan>, texts/xml/caes0013.xml
Augusto, augustus, la, transcription, Augusto</expan>, texts/xml/caes0016.xml
Augusto, augustus, la, transcription, Au</hi>g</abbr>usto</ex></expan>, texts/xml/caes0045.xml
Augusto, augustus, la, transcription, </lb>Aug</abbr>usto</ex></expan>, texts/xml/caes0047.xml
Augusto, augustus, la, transcription, Augusto</expan>, texts/xml/caes0049.xml
Augusto, augustus, la, transcription, Aug</abbr>usto</ex></expan>, texts/xml/caes0053.xml
