1, 1, arc, transcription, 1</num>, texts/xml/idum0001.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0002.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0005.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0005.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0005.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0006.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0006.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0015.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0017.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0017.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0018.xml
1, 1, arc, transcription, 1+</num>, texts/xml/idum0019.xml
1, 1, arc, transcription, 1, texts/xml/idum0022.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0023.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0024.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0024.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0024.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0030.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0031.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0040.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0042.xml
1, 1, arc, transcription, </unclear>1</num>, texts/xml/idum0043.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0043.xml
1, 1, arc, transcription, [+1</num>], texts/xml/idum0044.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0044.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0053.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0054.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0055.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0057.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0058.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0061.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0062.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0066.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0068.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0071.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0071.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0074.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0075.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0081.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0082.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0084.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0093.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0095.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0097.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0104.xml
1, 1, arc, transcription, 1</num>+</hi>, texts/xml/idum0105.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0107.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0108.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0109.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0117.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0118.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0119.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0123.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0126.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0127.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0128.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0130.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0132.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0136.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0136.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0139.xml
1, 1, arc, transcription, </lb>1</num>, texts/xml/idum0143.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0149.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0149.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0153.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0153.xml
1, 1, arc, transcription, </num>+1</num>, texts/xml/idum0155.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0155.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0159.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0160.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0161.xml
1, 1, arc, transcription, +1+</num>, texts/xml/idum0167.xml
1, 1, arc, transcription, </supplied>1</num>, texts/xml/idum0167.xml
1, 1, arc, transcription, </num></supplied>1</num>, texts/xml/idum0210.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0212.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0212.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0229.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0299.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0302.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0306.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0309b.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0311.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0313.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0317.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0320.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0328.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0334.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0335.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0336.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0337.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0340.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0375.xml
1, 1, arc, transcription, </supplied>1</num>, texts/xml/idum0375.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0376.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0377.xml
1, 1, arc, transcription, 1</num>, texts/xml/idum0386.xml
1, 1, arc, transcription, 1, texts/xml/unkn0104.xml
1, 1, arc, transcription, 1, texts/xml/unkn0104.xml
1, 1, arc, transcription, 1, texts/xml/unkn0104.xml
1, 1, arc, transcription, 1, texts/xml/unkn0104.xml
1, 1, arc, transcription, 1, texts/xml/unkn0104.xml
1, 1, arc, transcription, 1, texts/xml/unkn0104.xml
1, 1, arc, transcription, 1, texts/xml/unkn0107.xml
1, 1, arc, transcription, 1, texts/xml/unkn0107.xml
1, 1, arc, transcription, 1, texts/xml/unkn0107.xml
1, 1, arc, transcription, 1, texts/xml/unkn0107.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0028.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0032.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0039.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0062.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0063.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0087.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0089.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0094.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0120.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0122.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0123.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0128.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0140.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0225.xml
10, 10, arc, transcription, </supplied>10</gap></p></div>, texts/xml/idum0309a.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0317.xml
10, 10, arc, transcription, </gap>10</num>, texts/xml/idum0324.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0334.xml
10, 10, arc, transcription, 10</num>, texts/xml/idum0336.xml
10, 10, arc, transcription, 10, texts/xml/unkn0107.xml
11, 11, arc, transcription, 11</num>, texts/xml/idum0079.xml
11, 11, arc, transcription, 11</num>, texts/xml/idum0107.xml
11, 11, arc, transcription, 11</num>, texts/xml/idum0120.xml
11, 11, arc, transcription, 11</num>, texts/xml/idum0161.xml
113, 113, arc, transcription, 113, texts/xml/jmon0006.xml
117, 117, arc, transcription, 117</p></div>, texts/xml/sina0107.xml
12, 12, arc, transcription, 12</num>, texts/xml/idum0046.xml
12, 12, arc, transcription, 12</num>, texts/xml/idum0069.xml
12, 12, arc, transcription, 12</num>, texts/xml/idum0208.xml
12, 12, arc, transcription, 12, texts/xml/unkn0104.xml
13, 13, arc, transcription, 13</num>, texts/xml/idum0025.xml
13, 13, arc, transcription, </lb></gap>13</num>, texts/xml/idum0028.xml
13, 13, arc, transcription, 13</num>, texts/xml/idum0029.xml
13, 13, arc, transcription, 13</num>, texts/xml/idum0084.xml
13, 13, arc, transcription, 13</num>, texts/xml/idum0124.xml
13, 13, arc, transcription, 13</num>, texts/xml/idum0161.xml
13, 13, arc, transcription, </hi>13</num>, texts/xml/idum0212.xml
13, 13, arc, transcription, 13</num>, texts/xml/idum0300.xml
13, 13, arc, transcription, 13</num>, texts/xml/idum0301.xml
13, 13, arc, transcription, 13</num>, texts/xml/idum0303.xml
13, 13, arc, transcription, 13</num>, texts/xml/idum0317.xml
13, 13, arc, transcription, 13</ex></expan>, texts/xml/unkn0104.xml
13, 13, arc, transcription, 13, texts/xml/unkn0104.xml
13, 13, arc, transcription, 13</p></div>, texts/xml/unkn0104.xml
13, 13, arc, transcription, </lb>13, texts/xml/unkn0105.xml
14, 14, arc, transcription, 14</num>, texts/xml/idum0011.xml
14, 14, arc, transcription, 14</num>, texts/xml/idum0022.xml
14, 14, arc, transcription, 14</num>, texts/xml/idum0048.xml
14, 14, arc, transcription, 14</num>, texts/xml/idum0049.xml
14, 14, arc, transcription, 14</num>, texts/xml/idum0075.xml
14, 14, arc, transcription, 14</num>, texts/xml/idum0207.xml
14, 14, arc, transcription, 14</num>, texts/xml/idum0305.xml
14, 14, arc, transcription, 14</num>, texts/xml/idum0308.xml
14, 14, arc, transcription, 14</num>, texts/xml/idum0341.xml
14, 14, arc, transcription, </lb>14, texts/xml/unkn0104.xml
14, 14, arc, transcription, 14</ex></expan>, texts/xml/unkn0105.xml
15, 15, arc, transcription, 15</num>, texts/xml/idum0043.xml
15, 15, arc, transcription, 15</num>, texts/xml/idum0086.xml
15, 15, arc, transcription, 15</num>, texts/xml/idum0178.xml
15, 15, arc, transcription, 15</num>, texts/xml/idum0222.xml
15, 15, arc, transcription, 15</num>, texts/xml/idum0226.xml
15, 15, arc, transcription, 15</num>, texts/xml/idum0341.xml
15, 15, arc, transcription, 15, texts/xml/unkn0105.xml
16, 16, arc, transcription, 16</num>, texts/xml/idum0029.xml
16, 16, arc, transcription, 16</hi>, texts/xml/idum0030.xml
16, 16, arc, transcription, 16</num>, texts/xml/idum0045.xml
16, 16, arc, transcription, 16</num>, texts/xml/idum0052.xml
16, 16, arc, transcription, 16</num>, texts/xml/idum0092.xml
16, 16, arc, transcription, 16</num>, texts/xml/idum0169.xml
16, 16, arc, transcription, 16</num>, texts/xml/idum0214.xml
16, 16, arc, transcription, 16</num>, texts/xml/idum0221.xml
16, 16, arc, transcription, 16</num>, texts/xml/idum0319.xml
16, 16, arc, transcription, 16</num>, texts/xml/idum0333.xml
16, 16, arc, transcription, 16</num>, texts/xml/idum0385.xml
16, 16, arc, transcription, 16</ex></expan>, texts/xml/unkn0105.xml
17, 17, arc, transcription, 17</num>, texts/xml/idum0017.xml
17, 17, arc, transcription, 17</num>, texts/xml/idum0018.xml
17, 17, arc, transcription, 17</num>, texts/xml/idum0111.xml
17, 17, arc, transcription, 17</num>, texts/xml/idum0124.xml
17, 17, arc, transcription, 17</num>, texts/xml/idum0144.xml
17, 17, arc, transcription, 17</num>, texts/xml/idum0217.xml
17, 17, arc, transcription, 17</num>, texts/xml/idum0225.xml
17, 17, arc, transcription, 17</num>, texts/xml/idum0335.xml
18, 18, arc, transcription, 18</num>, texts/xml/idum0007.xml
18, 18, arc, transcription, 18</num>, texts/xml/idum0019.xml
18, 18, arc, transcription, 18</num>, texts/xml/idum0020.xml
18, 18, arc, transcription, 18</num>, texts/xml/idum0023.xml
18, 18, arc, transcription, 18</num>, texts/xml/idum0024.xml
18, 18, arc, transcription, 18</num>, texts/xml/idum0118.xml
18, 18, arc, transcription, 18</num>, texts/xml/idum0164.xml
18, 18, arc, transcription, 18</num>, texts/xml/idum0170.xml
18, 18, arc, transcription, 18</num>, texts/xml/idum0173.xml
19, 19, arc, transcription, 19</num>, texts/xml/idum0025.xml
19, 19, arc, transcription, 19</num>, texts/xml/idum0026.xml
19, 19, arc, transcription, 19</num>, texts/xml/idum0086.xml
19, 19, arc, transcription, 19</num>, texts/xml/idum0135.xml
19, 19, arc, transcription, 19</num>, texts/xml/idum0168.xml
19, 19, arc, transcription, </lb>19</num>, texts/xml/idum0216.xml
19, 19, arc, transcription, 19</num>, texts/xml/idum0315.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0007.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0010.xml
2, 2, arc, transcription, 2, texts/xml/idum0022.xml
2, 2, arc, transcription, </add>2, texts/xml/idum0022.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0024.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0030.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0033.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0034.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0035.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0036.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0037.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0037.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0038.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0056.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0058.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0060.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0071.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0072.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0076.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0078.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0079.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0080.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0083.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0086.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0087.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0089.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0096.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0098.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0100.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0101.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0107.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0107.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0110.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0110.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0112.xml
2, 2, arc, transcription, +2</num>, texts/xml/idum0118.xml
2, 2, arc, transcription, +2</num>, texts/xml/idum0120.xml
2, 2, arc, transcription, </gap>2</num>, texts/xml/idum0121.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0121.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0122.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0128.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0137.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0151.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0155.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0155.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0155.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0156.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0156.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0159.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0161.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0162.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0166.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0168.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0172.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0174.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0177.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0179.xml
2, 2, arc, transcription, </lb></gap>2</num>, texts/xml/idum0205.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0207.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0214.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0216.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0218.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0227.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0297.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0300.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0301.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0301.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0306.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0306.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0309b.xml
