1, , grc, transcription, 1., texts/xml/beth0170.xml
13, , grc, transcription, 13</p></div>, texts/xml/jeru0310.xml
2, , grc, transcription, </lb>2., texts/xml/beth0170.xml
3, , grc, transcription, </lb>3., texts/xml/beth0170.xml
463, , grc, transcription, 463., texts/xml/evro0007.xml
491, , grc, transcription, </lb>491&#44;, texts/xml/evro0005.xml
500, , grc, transcription, 500, texts/xml/carm0001.xml
538, , grc, transcription, 538.</p></div>, texts/xml/evro0008.xml
667, , grc, transcription, 667., texts/xml/khis0083.xml
7, , grc, transcription, 7&#44;, texts/xml/khis0083.xml
=, =, grc, transcription, =, texts/xml/beth0163.xml
=, =, grc, transcription, =, texts/xml/beth0163.xml
A, A, grc, transcription, A</unclear>, texts/xml/fiqg0013.xml
A, A, grc, transcription, A, texts/xml/sena0005.xml
Amineum, Amineum, grc, transcription, </lb>Am</abbr>ineum</ex></expan>, texts/xml/masa0796.xml
Amineum, Amineum, grc, transcription, </lb>Am</abbr>ineum</ex></expan>, texts/xml/masa0797.xml
Augusto, Augusto, grc, transcription, </supplied>A</supplied>ug</abbr>Augusto</expan>, texts/xml/caes0027.xml
Aὐδυναίου, Aὐδυναίου, grc, transcription, Aὐδυναίου</corr></choice>, texts/xml/zoor0201.xml
Bεροῦτοϛ, Bεροῦτοϛ, grc, transcription, </lb>Bεροῦτοϛ, texts/xml/akld0007.xml
Caesare, Caesare, grc, transcription, </lb>Cae</abbr>sare</ex></expan>, texts/xml/masa0795.xml
Caesare, Caesare, grc, transcription, </lb></p></div>Cae</abbr>sare</ex></expan>, texts/xml/masa0796.xml
Caesari, Caesari, grc, transcription, Caes</abbr>ari</ex></expan>, texts/xml/caes0027.xml
Cαμι, Cαμι, grc, transcription, C</lb>αμι, texts/xml/hamm0048.xml
Cεουῇρος, Cεουῇρος, grc, transcription, </lb>Cεου</supplied>ῇρος, texts/xml/hamm0039.xml
Cεργία, Cεργία, grc, transcription, Cεργία, texts/xml/hamm0037.xml
Cιλανὸς, Cιλανὸς, grc, transcription, Cι</supplied>λανὸς, texts/xml/hamm0018.xml
Cιρικίῳ, Cιρικίῳ, grc, transcription, </lb>Cιρικίῳ, texts/xml/hamm0026.xml
Cλεοπάτρα, Cλεοπάτρα, grc, transcription, </lb>Cλεο</lb>πάτρα</p></div>, texts/xml/eluy0002.xml
Cτρατηγιος, Cτρατηγιος, grc, transcription, Cτρατηγιο</add>ς, texts/xml/hamm0018.xml
Cτρατήγιος, Cτρατήγιος, grc, transcription, Cτρα</lb>τήγιο</add>ς, texts/xml/hamm0007.xml
Cυνκλήτιος, Cυνκλήτιος, grc, transcription, Cυνκλήτιος, texts/xml/hamm0035.xml
Cωσίβιος, Cωσίβιος, grc, transcription, Cωσίβι</supplied>ος?, texts/xml/sepp0014.xml
Eὐτυχίδης, Eὐτυχίδης, grc, transcription, Eὐτυχίδης</p></div>, texts/xml/haif0041.xml
FFF, FFF, grc, transcription, _F_F_F, texts/xml/evro0011.xml
II, II, grc, transcription, II</unclear></num></p></div>, texts/xml/zoor0392.xml
IΥE, IΥE, grc, transcription, </lb>IΥE</orig>, texts/xml/kede0001.xml
Kασσίσου, Kασσίσου, grc, transcription, </lb>Kασσίσου, texts/xml/zoor0286.xml
L, L, grc, transcription, L</unclear>, texts/xml/jeri0003.xml
L, L, grc, transcription, L</am>, texts/xml/mare0215.xml
L, L, grc, transcription, </lb>L, texts/xml/mare0217.xml
L, L, grc, transcription, L, texts/xml/mare0218.xml
L, L, grc, transcription, L</gap>, texts/xml/sena0005.xml
LΚ, LΚ, grc, transcription, LΚ, texts/xml/jeru0062.xml
LΚ, LΚ, grc, transcription, LΚ, texts/xml/jeru0062.xml
Lανομοῦντοςα, Lανομοῦντοςα, grc, transcription, Lα</unclear></lb>νομοῦν</unclear></lb>τοςα</unclear>, texts/xml/mare0209.xml
Lανομοῦντοςθοκλέους, Lανομοῦντοςθοκλέους, grc, transcription, Lα</unclear></lb>νομοῦν</lb>τος</lb>θοκλέου</unclear>ς</supplied></p></div>, texts/xml/mare0210.xml
Lε᾽ἀγορανομοῦντος, Lε᾽ἀγορανομοῦντος, grc, transcription, Lε</unclear>᾽ἀγορα</unclear></lb>νομοῦ</unclear>ντος</supplied></p></div>, texts/xml/mare0211.xml
LϝΜΡ, LϝΜΡ, grc, transcription, </lb>LϝΜ</unclear>Ρ</p></div>, texts/xml/mare0212.xml
M, M, grc, transcription, </lb>M</unclear></gap></p></div>, texts/xml/zoor0350.xml
MAPAT, MAPAT, grc, transcription, </lb>MAPAT, texts/xml/shap0001.xml
Mαρία, Mαρία, grc, transcription, </lb>Mαρία</supplied>, texts/xml/zoor0345.xml
Mαργαλίης, Mαργαλίης, grc, transcription, Mαργαλίης, texts/xml/zoor0201.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/xml/zoor0010.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/xml/zoor0011.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/xml/zoor0012.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/xml/zoor0013.xml
Mνημεῖον, Mνημεῖον, grc, transcription, </lb>Mνημεῖον</corr></choice>, texts/xml/zoor0014.xml
Mνημεῖον, Mνημεῖον, grc, transcription, </lb>Mνημεῖον</corr></choice>, texts/xml/zoor0015.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/xml/zoor0035.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/xml/zoor0036.xml
Mνημῖ, Mνημῖ, grc, transcription, Mνημῖ, texts/xml/zoor0277.xml
Mνημῖαν, Mνημῖαν, grc, transcription, </lb>Mνημῖαν</sic>, texts/xml/zoor0283.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0278.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0279.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0280.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0281.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0282.xml
Mνημῖον, Mνημῖον, grc, transcription, </lb>Mνημῖον</sic>, texts/xml/zoor0284.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0285.xml
Mνῆμα, Mνῆμα, grc, transcription, Mνῆμα, texts/xml/iopp0003.xml
N, N, grc, transcription, N</gap>, texts/xml/sena0005.xml
Robb, Robb, grc, transcription, Robb., texts/xml/beth0163.xml
Robb, Robb, grc, transcription, Robb., texts/xml/beth0163.xml
S, S, grc, transcription, S</del>., texts/xml/hamm0057.xml
Sκαὶ, Sκαὶ, grc, transcription, </lb>S</am>καὶ</ex></expan>, texts/xml/beth0036.xml
T, T, grc, transcription, T</abbr>, texts/xml/caes0012.xml
T, T, grc, transcription, T</unclear>, texts/xml/zoor0207.xml
TPRIM, TPRIM, grc, transcription, TPRIM, texts/xml/hamm0022.xml
VII, VII, grc, transcription, </choice>VII, texts/xml/caes0027.xml
VII, VII, grc, transcription, VII</num>, texts/xml/masa0795.xml
VIII, VIII, grc, transcription, VIII</supplied>., texts/xml/caes0027.xml
VIII, VIII, grc, transcription, VIII</p></div>, texts/xml/masa0796.xml
Vespasiano, Vespasiano, grc, transcription, Ves</abbr>pasiano</ex></expan>, texts/xml/caes0027.xml
XVII, XVII, grc, transcription, XVII, texts/xml/caes0027.xml
XVIIII, XVIIII, grc, transcription, XVIII</supplied>I, texts/xml/caes0027.xml
Zώϊλος, Zώϊλος, grc, transcription, Zώϊλος, texts/xml/tibe0004.xml
a, a, grc, transcription, </lb>a, texts/xml/masa0941.xml
ai, ai, grc, transcription, ai</unclear>, texts/xml/masa0942d.xml
also, also, grc, transcription, also, texts/xml/hamm0022.xml
and, and, grc, transcription, and, texts/xml/tibe0004.xml
ant, ant, grc, transcription, ant</unclear>, texts/xml/masa0942a.xml
augures, augures, grc, transcription, </lb></gap>augur</abbr>e</ex>s</abbr></expan>, texts/xml/caes0123.xml
b, b, grc, transcription, b, texts/xml/masa0941.xml
c, c, grc, transcription, c, texts/xml/masa0941.xml
censori, censori, grc, transcription, censori</supplied>, texts/xml/caes0027.xml
center, center, grc, transcription, center, texts/xml/tibe0004.xml
central, central, grc, transcription, </lb>(central, texts/xml/tibe0004.xml
central, central, grc, transcription, </lb>(central, texts/xml/tibe0004.xml
central, central, grc, transcription, </lb>(central, texts/xml/tibe0004.xml
central, central, grc, transcription, </lb>(central, texts/xml/tibe0004.xml
consuli, consuli, grc, transcription, </supplied>co</supplied>s</abbr>consuli</expan>, texts/xml/caes0027.xml
corr, corr, grc, transcription, corr., texts/xml/beth0163.xml
corr, corr, grc, transcription, corr., texts/xml/beth0163.xml
d, d, grc, transcription, d, texts/xml/masa0941.xml
devotus, devotus, grc, transcription, d</abbr>evotus</ex></expan>, texts/xml/caes0029.xml
e, e, grc, transcription, e</unclear>, texts/xml/caes0029.xml
e, e, grc, transcription, e, texts/xml/masa0941.xml
e, e, grc, transcription, e, texts/xml/masa0941.xml
e, e, grc, transcription, e</p></div>, texts/xml/masa0941.xml
eastern, eastern, grc, transcription, eastern, texts/xml/tibe0004.xml
ed, ed, grc, transcription, ed.&#44;, texts/xml/beth0163.xml
ed, ed, grc, transcription, ed.&#44;, texts/xml/beth0163.xml
ed, ed, grc, transcription, ed.</note>, texts/xml/beth0185.xml
ed, ed, grc, transcription, ed.</note></p></div>, texts/xml/beth0189.xml
eius, eius, grc, transcription, </abbr>eius</expan>, texts/xml/caes0029.xml
expan=ἔτουςἔτου, expan=ἔτουςἔτου, grc, transcription, </lb>expan="ἔτους">ἔτου</abbr>, texts/xml/zoor0013.xml
expan=ἡμέρᾳἡμ, expan=ἡμέρᾳἡμ, grc, transcription, expan="ἡμέρᾳ">ἡμ</abbr>, texts/xml/zoor0136.xml
f, f, grc, transcription, f, texts/xml/masa0941.xml
for, for, grc, transcription, for, texts/xml/hamm0022.xml
h, h, grc, transcription, h, texts/xml/masa0941.xml
