1, 1, heb, transcription, </supplied>1, texts/xml/jeru0194.xml
1, 1, heb, transcription, .1, texts/xml/jord0001.xml
10, 10, heb, transcription, </lb>.10, texts/xml/jord0001.xml
11, 11, heb, transcription, </lb>.11, texts/xml/jord0001.xml
12, 12, heb, transcription, </lb>.12, texts/xml/jord0001.xml
13, 13, heb, transcription, </lb>.13, texts/xml/jord0001.xml
14, 14, heb, transcription, </lb>.14, texts/xml/jord0001.xml
15, 15, heb, transcription, </lb>.15, texts/xml/jord0001.xml
16, 16, heb, transcription, </lb>.16, texts/xml/jord0001.xml
17, 17, heb, transcription, </lb>.17, texts/xml/jord0001.xml
18, 18, heb, transcription, </lb>.18, texts/xml/jord0001.xml
19, 19, heb, transcription, </lb>.19, texts/xml/jord0001.xml
2, 2, heb, transcription, </supplied>2, texts/xml/jeru0206.xml
2, 2, heb, transcription, </lb>.2, texts/xml/jord0001.xml
20, 20, heb, transcription, </lb>.20, texts/xml/jord0001.xml
21, 21, heb, transcription, </lb>.21, texts/xml/jord0001.xml
22, 22, heb, transcription, </lb>.22, texts/xml/jord0001.xml
23, 23, heb, transcription, </lb>.23, texts/xml/jord0001.xml
24, 24, heb, transcription, </lb>.24, texts/xml/jord0001.xml
25, 25, heb, transcription, </lb>.25, texts/xml/jord0001.xml
26, 26, heb, transcription, </lb>.26, texts/xml/jord0001.xml
27, 27, heb, transcription, </lb>.27, texts/xml/jord0001.xml
28, 28, heb, transcription, </lb>.28, texts/xml/jord0001.xml
29, 29, heb, transcription, </lb>.29, texts/xml/jord0001.xml
3, 3, heb, transcription, </lb>.3, texts/xml/jord0001.xml
30, 30, heb, transcription, </lb>.30, texts/xml/jord0001.xml
31, 31, heb, transcription, </lb>.31, texts/xml/jord0001.xml
32, 32, heb, transcription, </lb>.32, texts/xml/jord0001.xml
33, 33, heb, transcription, </lb>.33, texts/xml/jord0001.xml
34, 34, heb, transcription, </lb>.34, texts/xml/jord0001.xml
35, 35, heb, transcription, </lb>.35, texts/xml/jord0001.xml
36, 36, heb, transcription, </lb>.36, texts/xml/jord0001.xml
37, 37, heb, transcription, </lb>.37, texts/xml/jord0001.xml
38, 38, heb, transcription, </lb>.38, texts/xml/jord0001.xml
39, 39, heb, transcription, </lb>.39, texts/xml/jord0001.xml
4, 4, heb, transcription, </supplied>4, texts/xml/jeru0194.xml
4, 4, heb, transcription, </supplied>4, texts/xml/jeru0206.xml
4, 4, heb, transcription, </lb>.4, texts/xml/jord0001.xml
40, 40, heb, transcription, </lb>.40, texts/xml/jord0001.xml
41, 41, heb, transcription, </lb>.41, texts/xml/jord0001.xml
42, 42, heb, transcription, </lb>.42, texts/xml/jord0001.xml
43, 43, heb, transcription, </lb>.43, texts/xml/jord0001.xml
44, 44, heb, transcription, </lb>.44, texts/xml/jord0001.xml
45, 45, heb, transcription, </lb>.45, texts/xml/jord0001.xml
46, 46, heb, transcription, </lb>.46, texts/xml/jord0001.xml
47, 47, heb, transcription, </lb>.47, texts/xml/jord0001.xml
48, 48, heb, transcription, </lb>.48, texts/xml/jord0001.xml
49, 49, heb, transcription, </lb>.49, texts/xml/jord0001.xml
5, 5, heb, transcription, </lb>.5, texts/xml/jord0001.xml
