Ὀλυμπιόδωρος | Ὀλυμπιόδωρος | grc | transcription | docs/texts/xml/caes0001.xml|<p>Ὀλυμπιόδωρος
Olympiodoros | Olympiodoros | grc-transl | translation | docs/texts/xml/caes0001.xml|<p><persName lang="grc " ref="persons.xml#caes0001p01">Olympiodoros
Tito | Tito | la | transcription | docs/texts/xml/caes0002.xml|<p><expan>Tito
Flavio | Flavio | la | transcription | docs/texts/xml/caes0002.xml|<p>Flavio
Augusti | augustus | la | transcription | docs/texts/xml/caes0002.xml|<p>Augusti
liberto | libertus | la | transcription | docs/texts/xml/caes0002.xml|<p>liberto
honoris | honor | la | transcription | docs/texts/xml/caes0002.xml|<p><lb>honoris
Callisto | Callisto | la | transcription | docs/texts/xml/caes0002.xml|<p><space>Callisto
causa | causa | la | transcription | docs/texts/xml/caes0002.xml|<p><space>causa
Caius | Caius | la | transcription | docs/texts/xml/caes0002.xml|<p><expan>Caius
Aurunculeius | Aurunculeius | la | transcription | docs/texts/xml/caes0002.xml|<p>Aurunculeius
amico | amicus | la | transcription | docs/texts/xml/caes0002.xml|<p>amico
suo | suo | la | transcription | docs/texts/xml/caes0002.xml|<p>suo.
Gaius | Gaius | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>Gaius
Aurunculeius | Aurunculeius | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>Aurunculeius
to | to | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>to
his | his | la-transl | translation | docs/texts/xml/caes0002.xml|<p>his
friend | friend | la-transl | translation | docs/texts/xml/caes0002.xml|<p>friend
Titus | Titus | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>Titus
Flavius | Flavius | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>Flavius
Callistus | Callistus | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>Callistus
freedman | freedman | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name><rs type="status">freedman
of | of | la-transl | translation | docs/texts/xml/caes0002.xml|<p>of
Augustus | Augustus | la-transl | translation | docs/texts/xml/caes0002.xml|<p><persName lang="la " ref="persons.xml#caes0002p06">Augustus
out | out | la-transl | translation | docs/texts/xml/caes0002.xml|<p>out
of | of | la-transl | translation | docs/texts/xml/caes0002.xml|<p>of
respect | respect | la-transl | translation | docs/texts/xml/caes0002.xml|<p>respect.
Marcum | marcus | la | transcription | docs/texts/xml/caes0003.xml|<p>Marcum
Flavium | Flavium | la | transcription | docs/texts/xml/caes0003.xml|<p><expan>Flavium
Agrippam | Agrippam | la | transcription | docs/texts/xml/caes0003.xml|<p>Agrippam
pontificem | pontifex | la | transcription | docs/texts/xml/caes0003.xml|<p>pontificem
II | eo | la | transcription | docs/texts/xml/caes0003.xml|<p><lb>II
viralem | viralem | la | transcription | docs/texts/xml/caes0003.xml|<p>viralem
coloniae | colonia | la | transcription | docs/texts/xml/caes0003.xml|<p><lb><expan>coloniae
I | eo | la | transcription | docs/texts/xml/caes0003.xml|<p>I
Flaviae | Flaviae | la | transcription | docs/texts/xml/caes0003.xml|<p>Flaviae
Augustae | augustus | la | transcription | docs/texts/xml/caes0003.xml|<p><expan>Augustae
Caesareae | Caesareae | la | transcription | docs/texts/xml/caes0003.xml|<p>Caesareae
oratoremex | oratoremex | la | transcription | docs/texts/xml/caes0003.xml|<p>oratoremex
decreto | decerno | la | transcription | docs/texts/xml/caes0003.xml|<p>decreto
decurionum | decurio | la | transcription | docs/texts/xml/caes0003.xml|<p>decurionum
pecunia | pecunia | la | transcription | docs/texts/xml/caes0003.xml|<p>pecunia
publica | publico | la | transcription | docs/texts/xml/caes0003.xml|<p>publica.
Marcus | Marcus | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name><persName lang="la " ref="persons.xml#caes0003p01" nymRef="names.xml#caes0003n01">Marcus
Flavius | Flavius | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name><persName lang="la " ref="persons.xml#caes0003p02" nymRef="names.xml#caes0003n02">Flavius
Agrippa | Agrippa | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name>Agrippa
priest | priest | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name><rs type="religTitle">priest
duovir | duovir | la-transl | translation | docs/texts/xml/caes0003.xml|<p><rs type="admTitle">duovir
orator | orator | la-transl | translation | docs/texts/xml/caes0003.xml|<p><rs type="occupation">orator
of | of | la-transl | translation | docs/texts/xml/caes0003.xml|<p>of
Caesarea | Caesarea | la-transl | translation | docs/texts/xml/caes0003.xml|<p><placeName>Caesarea
the | the | la-transl | translation | docs/texts/xml/caes0003.xml|<p>the
first | first | la-transl | translation | docs/texts/xml/caes0003.xml|<p>first
colony | colony | la-transl | translation | docs/texts/xml/caes0003.xml|<p>colony
of | of | la-transl | translation | docs/texts/xml/caes0003.xml|<p>of
