Ὀλυμπιόδωρος | Ὀλυμπιόδωρος | grc | transcription | docs/texts/xml/caes0001.xml|<p>Ὀλυμπιόδωρος
Olympiodoros | Olympiodoros | grc-transl | translation | docs/texts/xml/caes0001.xml|<p><persName lang="grc " ref="persons.xml#caes0001p01">Olympiodoros
Tito | Tito | la | transcription | docs/texts/xml/caes0002.xml|<p><expan><ex>T</abbr>ito</ex></expan>
Flavio | Flavio | la | transcription | docs/texts/xml/caes0002.xml|<p>Flavio
Augusti | augustus | la | transcription | docs/texts/xml/caes0002.xml|<p><expan><ex>Aug</abbr>usti</ex></expan>
liberto | libertus | la | transcription | docs/texts/xml/caes0002.xml|<p><expan><ex>liber</abbr>to</ex></expan>
honoris | honor | la | transcription | docs/texts/xml/caes0002.xml|<p><expan><ex>h</abbr>onoris</ex></expan>
Callisto | Callisto | la | transcription | docs/texts/xml/caes0002.xml|<p>Callisto
causa | causa | la | transcription | docs/texts/xml/caes0002.xml|<p><expan><ex>c</abbr>ausa</ex></expan>,
Caius | Caius | la | transcription | docs/texts/xml/caes0002.xml|<p><expan><ex>C</abbr>aius</ex></expan>
Aurunculeius | Aurunculeius | la | transcription | docs/texts/xml/caes0002.xml|<p>Aurunculeius
amico | amicus | la | transcription | docs/texts/xml/caes0002.xml|<p>amico
suo | suo | la | transcription | docs/texts/xml/caes0002.xml|<p>suo.</p></div>
Gaius | Gaius | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>Gaius
Aurunculeius | Aurunculeius | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>Aurunculeius
to | to | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>to
his | his | la-transl | translation | docs/texts/xml/caes0002.xml|<p>his
friend | friend | la-transl | translation | docs/texts/xml/caes0002.xml|<p>friend
Titus | Titus | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>Titus
Flavius | Flavius | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>Flavius
Callistus | Callistus | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name>Callistus
freedman | freedman | la-transl | translation | docs/texts/xml/caes0002.xml|<p><name><rs type="status">freedman
of | of | la-transl | translation | docs/texts/xml/caes0002.xml|<p>of
Augustus | Augustus | la-transl | translation | docs/texts/xml/caes0002.xml|<p><persName lang="la " ref="persons.xml#caes0002p06">Augustus
out | out | la-transl | translation | docs/texts/xml/caes0002.xml|<p>out
of | of | la-transl | translation | docs/texts/xml/caes0002.xml|<p>of
respect | respect | la-transl | translation | docs/texts/xml/caes0002.xml|<p>respect.
Marcum | marcus | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>M</abbr>arcum</ex></expan>
Flavium | Flavium | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>Fl</abbr>avium</ex></expan>
Agrippam | Agrippam | la | transcription | docs/texts/xml/caes0003.xml|<p>Agrippam
pontificem | pontifex | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>pontif</abbr>icem</ex></expan>
II | eo | la | transcription | docs/texts/xml/caes0003.xml|<p>II
viralem | viralem | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>viral</abbr>em</ex></expan>
