#Zubaydu/Zubidu, arc, transcription, ../iip-texts-master/epidoc-files/idum0001.xml
#Π$άρις, grc, transcription, ../iip-texts-master/epidoc-files/jeru0307.xml
*, arc, transcription, ../iip-texts-master/epidoc-files/mare0080.xml
*μορρδε, grc, transcription, ../iip-texts-master/epidoc-files/bshe0131.xml
-, grc, transcription, ../iip-texts-master/epidoc-files/hamm0020.xml
-, grc, diplomatic, ../iip-texts-master/epidoc-files/hamm0027.xml
-ου, grc, transcription, ../iip-texts-master/epidoc-files/beth0213.xml
/, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
/, he, transcription, ../iip-texts-master/epidoc-files/masa0038.xml
/, arc, transcription, ../iip-texts-master/epidoc-files/zoor0363.xml
1, grc, transcription, ../iip-texts-master/epidoc-files/beth0170.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0001.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0002.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0005.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0006.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0015.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0017.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0018.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0019.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0022.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0023.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0024.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0030.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0031.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0040.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0042.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0043.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0044.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0055.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0057.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0058.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0061.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0062.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0066.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0068.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0071.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0075.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0081.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0082.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0084.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0093.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0095.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0097.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0104.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0105.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0107.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0108.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0117.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0118.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0119.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0127.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0128.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0130.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0132.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0136.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0139.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0143.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0149.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0153.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0155.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0159.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0167.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0210.xml
1, arc, transcription, ../iip-texts-master/epidoc-files/idum0212.xml
