Text,Lemma,Language,Edition Type,XML Context,File
Imperatori, imperator, la, transcription, <p><supplied reason="undefined"><expan><abbr>Imp</abbr><ex>eratori</ex></expan></supplied></p>, docs/texts/xml/caes0106.xml
Caesari, Caesari, la, transcription, <p><supplied reason="undefined"><expan><abbr>Caes</abbr><ex>ari</ex></expan></supplied></p>, docs/texts/xml/caes0106.xml
Caio, caio, la, transcription, <p><supplied reason="undefined"><expan><abbr>C</abbr><ex>aio</ex></expan></supplied></p>, docs/texts/xml/caes0106.xml
Iulio, Iulio, la, transcription, <p><supplied reason="undefined"><lb><supplied reason="undefined">Iulio</supplied></lb></supplied></p>, docs/texts/xml/caes0106.xml
Vero, verus, la, transcription, <p><supplied reason="undefined">Vero</supplied></p>, docs/texts/xml/caes0106.xml
Maximino, Maximino, la, transcription, <p><lb><supplied reason="undefined">Maximino</supplied></lb></p>, docs/texts/xml/caes0106.xml
pio, pius, la, transcription, <p><supplied reason="undefined"><expan><abbr>p</abbr><ex>io</ex></expan></supplied></p>, docs/texts/xml/caes0106.xml
felici, felix, la, transcription, <p><supplied reason="undefined"><expan><abbr>f</abbr><ex>elici</ex></expan></supplied></p>, docs/texts/xml/caes0106.xml
Aug, Aug, la, transcription, <p><supplied reason="undefined"><lb><supplied reason="undefined"><choice>Aug</choice></supplied></lb></supplied></p>, docs/texts/xml/caes0106.xml
nostro, noster, la, transcription, <p><supplied reason="undefined"><expan><abbr>n</abbr><ex>ostro</ex></expan></supplied></p>, docs/texts/xml/caes0106.xml
et, et, la, transcription, <p><supplied reason="undefined">et</supplied></p>, docs/texts/xml/caes0106.xml
Gaio, Gaio, la, transcription, <p><lb><supplied reason="undefined"><expan><abbr>G</abbr><ex>aio</ex></expan></supplied></lb></p>, docs/texts/xml/caes0106.xml
Iulio, Iulio, la, transcription, <p><supplied reason="undefined">Iulio</supplied></p>, docs/texts/xml/caes0106.xml
VeroMaximo, VeroMaximo, la, transcription, <p>Vero<lb/>Maximo</p>, docs/texts/xml/caes0106.xml
nobilissimo, nobilis, la, transcription, <p><supplied>nobil</supplied>issimo</p>, docs/texts/xml/caes0106.xml
Caesari, Caesari, la, transcription, <p><supplied>C</supplied>aes<supplied>ari</supplied></p>, docs/texts/xml/caes0106.xml
filio, filius, la, transcription, <p><lb><supplied>f</supplied>il<supplied>io</supplied></lb></p>, docs/texts/xml/caes0106.xml
Augusti, augustus, la, transcription, <p><lb><expan><abbr>Aug</abbr><ex>usti</ex></expan></lb></p>, docs/texts/xml/caes0106.xml
nostri, noster, la, transcription, <p><abbr>n</abbr><ex>ostri</ex></p>, docs/texts/xml/caes0106.xml
To, To, la-transl, translation, <p>To</p>, docs/texts/xml/caes0106.xml
Imperator, Imperator, la-transl, translation, <p><rs type="admTitle">Imperator</rs></p>, docs/texts/xml/caes0106.xml
Caesar, Caesar, la-transl, translation, <p><rs type="admTitle">Caesar</rs></p>, docs/texts/xml/caes0106.xml
Gaius, Gaius, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0106p01">Gaius</persName></name></p>, docs/texts/xml/caes0106.xml
Julius, Julius, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0106p02">Julius</persName></name></p>, docs/texts/xml/caes0106.xml
Verus, Verus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0106p03">Verus</persName></name></p>, docs/texts/xml/caes0106.xml
Maximinus, Maximinus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0106p04">Maximinus</persName></name></p>, docs/texts/xml/caes0106.xml
dutiful, dutiful, la-transl, translation, <p><name>dutiful</name></p>, docs/texts/xml/caes0106.xml
and, and, la-transl, translation, <p>and</p>, docs/texts/xml/caes0106.xml
happy, happy, la-transl, translation, <p>happy</p>, docs/texts/xml/caes0106.xml
our, our, la-transl, translation, <p>our</p>, docs/texts/xml/caes0106.xml
Augustus, Augustus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0106p05">Augustus</persName></name></p>, docs/texts/xml/caes0106.xml
and, and, la-transl, translation, <p><name>and</name></p>, docs/texts/xml/caes0106.xml
to, to, la-transl, translation, <p>to</p>, docs/texts/xml/caes0106.xml
Gaius, Gaius, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0106p06">Gaius</persName></name></p>, docs/texts/xml/caes0106.xml
Julius, Julius, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0106p07">Julius</persName></name></p>, docs/texts/xml/caes0106.xml
Verus, Verus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0106p08">Verus</persName></name></p>, docs/texts/xml/caes0106.xml
Maximus, Maximus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0106p09">Maximus</persName></name></p>, docs/texts/xml/caes0106.xml
most, most, la-transl, translation, <p><name>most</name></p>, docs/texts/xml/caes0106.xml
noble, noble, la-transl, translation, <p>noble</p>, docs/texts/xml/caes0106.xml
Caesar, Caesar, la-transl, translation, <p><rs type="admTitle">Caesar</rs></p>, docs/texts/xml/caes0106.xml
son, son, la-transl, translation, <p>son</p>, docs/texts/xml/caes0106.xml
of, of, la-transl, translation, <p>of</p>, docs/texts/xml/caes0106.xml
our, our, la-transl, translation, <p>our</p>, docs/texts/xml/caes0106.xml
Augustus, Augustus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0106p10">Augustus</persName></name></p>, docs/texts/xml/caes0106.xml
Imperatori, imperator, la, transcription, <p><expan><abbr>Imp</abbr><ex>eratori</ex></expan></p>, docs/texts/xml/caes0107.xml
Caesari, Caesari, la, transcription, <p><expan><abbr>Caes</abbr><ex>ari</ex></expan></p>, docs/texts/xml/caes0107.xml
